from_node,to_node,distance,travel_time,link_type,route_id,route_type
94048,13510,0.672,176.2854145,0,[1],3
13510,94048,0.672,176.2854145,0,[1],3
13510,10478,1.668,437.5655824,0,[1],3
10478,13510,1.668,437.5655824,0,[1],3
10478,13391,0.08,20.98635887,0,[1],3
13391,10478,0.08,20.98635887,0,[1],3
13391,10106,0.121,31.74186779,0,"[1, 11]",3
10106,13391,0.121,31.74186779,0,"[1, 11]",3
10106,10111,0.105,27.54459601,0,"[1, 10, 11]",3
10111,10106,0.105,27.54459601,0,"[1, 10, 11]",3
10111,10114,0.136,35.67681007,0,"[1, 11]",3
10114,10111,0.136,35.67681007,0,"[1, 11]",3
10114,10494,0.14,36.72612802,0,"[1, 11]",3
10494,10114,0.14,36.72612802,0,"[1, 11]",3
10494,12804,0.188,49.31794334,0,"[1, 11]",3
12804,10494,0.188,49.31794334,0,"[1, 11]",3
12804,12453,0.215,56.40083945,0,"[1, 11]",3
12453,12804,0.215,56.40083945,0,"[1, 11]",3
12453,12454,0.127,33.3158447,0,"[1, 11]",3
12454,12453,0.127,33.3158447,0,"[1, 11]",3
12454,10502,0.131,34.36516264,0,[1],3
10502,12454,0.131,34.36516264,0,[1],3
10502,10129,0.179,46.95697796,0,[1],3
10129,10502,0.179,46.95697796,0,[1],3
10129,10517,0.171,44.85834208,0,[1],3
10517,10129,0.171,44.85834208,0,[1],3
10517,10139,0.116,30.43022036,0,[1],3
10139,10517,0.116,30.43022036,0,[1],3
10139,10533,0.171,44.85834208,0,"[1, 6]",3
10533,10139,0.171,44.85834208,0,"[1, 6]",3
10533,10150,0.113,29.6432319,0,"[1, 6]",3
10150,10533,0.113,29.6432319,0,"[1, 6]",3
10150,10543,0.178,46.69464848,0,[1],3
10543,10150,0.178,46.69464848,0,[1],3
10543,10548,0.138,36.20146905,0,[1],3
10548,10543,0.138,36.20146905,0,[1],3
10548,10189,0.286,75.02623295,0,[1],3
10189,10548,0.286,75.02623295,0,[1],3
10189,10196,0.251,65.84470094,0,[1],3
10196,10189,0.251,65.84470094,0,[1],3
10196,10201,0.152,39.87408185,0,[1],3
10201,10196,0.152,39.87408185,0,[1],3
10201,10204,0.1,26.23294858,0,[1],3
10204,10201,0.1,26.23294858,0,[1],3
10204,13485,0.306,80.27282267,0,[1],3
13485,10204,0.306,80.27282267,0,[1],3
13485,13528,0.171,44.85834208,0,[1],3
13528,13485,0.171,44.85834208,0,[1],3
13528,13531,0.12,31.4795383,0,[1],3
13531,13528,0.12,31.4795383,0,[1],3
13531,10609,0.122,32.00419727,0,[1],3
10609,13531,0.122,32.00419727,0,[1],3
10609,10612,0.065,17.05141658,0,[1],3
10612,10609,0.065,17.05141658,0,[1],3
10612,10620,0.216,56.66316894,0,[1],3
10620,10612,0.216,56.66316894,0,[1],3
10620,10623,0.15,39.34942288,0,[1],3
10623,10620,0.15,39.34942288,0,[1],3
10623,88979,0.136,35.67681007,0,[1],3
88979,10623,0.136,35.67681007,0,[1],3
88979,10247,0.291,76.33788038,0,[1],3
10247,88979,0.291,76.33788038,0,[1],3
10247,10639,0.235,61.64742917,0,[1],3
10639,10247,0.235,61.64742917,0,[1],3
10639,10257,0.191,50.10493179,0,[1],3
10257,10639,0.191,50.10493179,0,[1],3
10257,10260,0.166,43.54669465,0,[1],3
10260,10257,0.166,43.54669465,0,[1],3
10260,10655,0.13,34.10283316,0,[1],3
10655,10260,0.13,34.10283316,0,[1],3
10655,10659,0.121,31.74186779,0,[1],3
10659,10655,0.121,31.74186779,0,[1],3
10659,10665,0.156,40.92339979,0,[1],3
10665,10659,0.156,40.92339979,0,[1],3
10665,10673,0.25,65.58237146,0,[1],3
10673,10665,0.25,65.58237146,0,[1],3
10673,10679,0.273,71.61594963,0,[1],3
10679,10673,0.273,71.61594963,0,[1],3
10679,10682,0.156,40.92339979,0,[1],3
10682,10679,0.156,40.92339979,0,[1],3
10682,10688,0.258,67.68100735,0,[1],3
10688,10682,0.258,67.68100735,0,[1],3
10688,10290,0.158,41.44805876,0,[1],3
10290,10688,0.158,41.44805876,0,[1],3
10290,10691,0.222,58.23714586,0,[1],3
10691,10290,0.222,58.23714586,0,[1],3
10691,10697,0.244,64.00839454,0,[1],3
10697,10691,0.244,64.00839454,0,[1],3
10697,10303,0.353,92.6023085,0,[1],3
10303,10697,0.353,92.6023085,0,[1],3
10303,10306,0.152,39.87408185,0,[1],3
10306,10303,0.152,39.87408185,0,[1],3
10306,10310,0.263,68.99265477,0,[1],3
10310,10306,0.263,68.99265477,0,[1],3
10310,12240,0.241,63.22140609,0,[1],3
12240,10310,0.241,63.22140609,0,[1],3
12240,13161,0.19,49.84260231,0,[1],3
13161,12240,0.19,49.84260231,0,[1],3
13161,10320,0.213,55.87618048,0,[1],3
10320,13161,0.213,55.87618048,0,[1],3
10320,13410,0.449,117.7859391,0,"[1, 852]",3
13410,10320,0.449,117.7859391,0,"[1, 852]",3
11412,11033,0.182,47.74396642,0,[1],3
11033,11412,0.182,47.74396642,0,[1],3
11033,11406,0.105,27.54459601,0,[1],3
11406,11033,0.105,27.54459601,0,[1],3
11406,11399,0.194,50.89192025,0,[1],3
11399,11406,0.194,50.89192025,0,[1],3
11399,11025,0.155,40.6610703,0,[1],3
11025,11399,0.155,40.6610703,0,[1],3
11025,11389,0.138,36.20146905,0,[1],3
11389,11025,0.138,36.20146905,0,[1],3
11389,11013,0.196,51.41657922,0,[1],3
11013,11389,0.196,51.41657922,0,[1],3
11013,11010,0.129,33.84050367,0,[1],3
11010,11013,0.129,33.84050367,0,[1],3
11010,11377,0.15,39.34942288,0,[1],3
11377,11010,0.15,39.34942288,0,[1],3
11377,88980,0.232,60.86044071,0,[1],3
88980,11377,0.232,60.86044071,0,[1],3
88980,10607,0.16,41.97271773,0,[1],3
10607,88980,0.16,41.97271773,0,[1],3
10607,11369,0.15,39.34942288,0,[1],3
11369,10607,0.15,39.34942288,0,[1],3
11369,11364,0.134,35.1521511,0,[1],3
11364,11369,0.134,35.1521511,0,[1],3
11364,10986,0.126,33.05351522,0,[1],3
10986,11364,0.126,33.05351522,0,[1],3
10986,11355,0.146,38.30010493,0,[1],3
11355,10986,0.146,38.30010493,0,[1],3
11355,11351,0.127,33.3158447,0,[1],3
11351,11355,0.127,33.3158447,0,[1],3
11351,13484,0.147,38.56243442,0,[1],3
