rq_time,start,end,request_id
43610,5406,6956,0
52263,1130,12872,1
27652,1893,16138,2
61210,7820,7042,3
7509,8990,6543,4
54213,9572,3198,5
69340,13066,3313,6
46760,14647,12174,7
23751,13697,7381,8
21932,7732,5611,9
3841,857,1470,10
43016,14332,7049,11
70638,9658,10069,12
20331,15681,5776,13
59473,14288,7323,14
62526,5991,4019,15
46702,14552,12300,16
58157,10554,680,17
15385,9299,14181,18
71163,12770,652,19
51584,3400,4020,20
51081,7421,13161,21
63153,13507,12946,22
34835,6195,3783,23
40014,13132,5734,24
7868,12231,14971,25
15174,3866,10769,26
40367,15705,11097,27
15841,13102,3848,28
26749,2180,5137,29
28099,12041,8358,30
20622,5742,14900,31
68895,1027,13060,32
45195,4509,10486,33
40421,7094,16383,34
20324,16289,14804,35
71243,9965,6362,36
29769,3891,2925,37
40657,1210,5385,38
40303,11067,4769,39
11822,5251,11514,40
37274,14729,5566,41
32960,9437,1230,42
59906,4762,6547,43
8608,217,2650,44
12983,9787,4357,45
63005,5976,5428,46
13746,3710,9781,47
8743,11508,15083,48
32848,13115,1588,49
44187,6695,4103,50
55649,11039,1762,51
33008,1593,13953,52
35502,11560,16286,53
3675,1122,12499,54
54896,7858,14291,55
71023,15459,1360,56
23462,373,1936,57
54751,9074,3702,58
61432,11340,15737,59
29865,16194,12111,60
9964,16406,1097,61
6943,12541,11289,62
71942,12946,2995,63
14570,22,10165,64
25652,9107,795,65
3606,9983,1244,66
873,12345,11641,67
21006,4061,6423,68
46140,11868,11205,69
43466,6954,6844,70
17470,15899,12072,71
48723,8671,16317,72
17619,4368,3228,73
27251,1186,8966,74
68492,7156,800,75
62227,15307,3867,76
51536,13612,3041,77
61589,5910,5374,78
5186,8180,534,79
23923,13377,8240,80
23416,4513,12191,81
25463,3112,541,82
23851,13544,16362,83
67487,14190,11224,84
8021,6968,4847,85
59074,10812,14463,86
64549,1456,8088,87
37591,9669,6547,88
28102,10898,7720,89
9037,15222,8823,90
54083,8590,13992,91
69345,4666,6605,92
60043,6547,9680,93
56675,6727,10644,94
20505,4476,12952,95
62273,15203,7100,96
26162,2778,5627,97
842,3648,4553,98
26391,4978,15775,99
27229,2538,12361,100
57325,10106,107,101
60450,2912,13434,102
70278,4513,2002,103
20249,11616,4128,104
61679,5345,7513,105
52042,14516,15981,106
30824,5887,10796,107
61850,14349,16020,108
11031,7765,7646,109
58877,15004,7373,110
56498,1831,14503,111
57697,5185,6686,112
59017,3369,10512,113
46755,1370,1722,114
66089,3512,10716,115
70484,3040,5528,116
8614,13554,11,117
8678,4395,4328,118
3311,6856,860,119
57928,5321,11687,120
13270,11722,4857,121
41211,3196,6551,122
31313,4930,6431,123
26131,14854,10157,124
45356,13231,4060,125
38546,6395,10836,126
71413,7328,14801,127
61441,1369,5891,128
34550,12970,350,129
10251,5203,6330,130
18988,3706,8301,131
63107,8503,181,132
70761,2179,5832,133
1789,9097,5070,134
58607,14953,7505,135
43270,1604,12755,136
28338,14533,5727,137
5955,9577,13976,138
9042,15727,14123,139
44984,9158,13432,140
2086,6950,6906,141
39893,4297,3931,142
12385,15785,15952,143
44918,11119,14753,144
57739,8741,10371,145
14678,15876,7653,146
33743,11306,16404,147
41225,254,1170,148
65040,4329,14009,149
21330,11258,2072,150
28144,6052,6366,151
18080,5445,5675,152
18479,2007,13385,153
46331,15108,7640,154
31556,11800,16301,155
54843,546,6303,156
29016,4974,13000,157
16457,13919,13837,158
1275,6061,4758,159
46351,6771,1648,160
