node_index,is_stop_only,pos_x,pos_y,actual_nodes
0,False,6270610.972,1855649.299,1053062
1,False,6270383.128,1855142.156,1053063
2,False,6270268.054,1855902.945,1053065
3,False,6270496.401,1855499.721,1053066
4,False,6270239.127,1855699.265,1053067
5,False,6270003.14,1855533.471,1053068
6,False,6269819.543,1856036.357,1053069
7,False,6270251.0,1855915.0,1053071
8,False,6279244.387,1851610.903,1053330
9,False,6297212.009,1865314.328,78509
10,False,6296270.995,1865259.306,78622
11,False,6296345.618,1865270.837,78628
12,False,6296309.373,1865265.337,78629
13,False,6296298.0,1865207.0,78634
14,False,6296364.0,1865201.0,78637
15,False,6296153.314,1865275.418,78641
16,False,6297215.462,1865178.154,78651
17,False,6296314.0,1865152.0,78663
18,False,6296182.78,1865143.534,78667
19,False,6304194.0,1865018.0,78735
20,False,6304171.0,1864952.0,78773
21,False,6303290.46,1864951.644,78774
22,False,6297210.079,1864951.075,78787
23,False,6302522.0,1864903.0,78801
24,False,6311233.0,1864902.0,78803
25,False,6296526.999,1864892.0,78807
26,False,6296454.0,1864886.0,78811
27,False,6296420.605,1864880.598,78816
28,False,6296386.0,1864875.0,78818
29,False,6296258.0,1864856.0,78830
30,False,6296184.0,1864844.0,78836
31,False,6299937.0,1864825.0,78847
32,False,6311101.0,1864796.0,78867
33,False,6297205.0,1864754.0,78888
34,False,6311266.0,1864748.0,78893
35,False,6299934.17,1864696.511,78910
36,False,6295946.839,1864682.389,78920
37,False,6299935.031,1864678.861,78923
38,False,6303319.0,1864658.0,78936
39,False,6297177.999,1864650.0,78939
40,False,6300273.043,1864644.938,78942
41,False,6296123.279,1864644.583,78943
42,False,6300185.659,1864635.023,78946
43,False,6300458.363,1864600.244,78962
44,False,6300283.488,1864593.564,78964
45,False,6300519.0,1864587.0,78965
46,False,6296855.0,1864585.0,78966
47,False,6299949.0,1864582.0,78967
48,False,6310881.0,1864575.001,78973
49,False,6296333.0,1864573.0,78975
50,False,6301068.0,1864573.0,78976
51,False,6300473.047,1864571.607,78978
52,False,6300457.592,1864559.817,78987
53,False,6300402.969,1864535.911,78996
54,False,6298194.0,1864515.0,79002
55,True,6299963.0,1864513.001,79004
56,False,6301088.0,1864495.0,79014
57,False,6297782.0,1864479.0,79027
58,False,6297335.0,1864465.0,79042
59,False,6311149.999,1864449.0,79054
60,False,6310799.0,1864434.0,79069
61,False,6300248.0,1864405.0,79080
62,False,6303132.0,1864398.0,79083
63,False,6309795.0,1864380.0,79091
64,False,6300257.0,1864371.0,79097
65,False,6310764.0,1864368.0,79100
66,False,6300020.0,1864363.0,79106
67,False,6296531.0,1864353.0,79111
68,False,6299071.0,1864347.0,79117
69,False,6310752.0,1864346.0,79119
70,False,6299222.0,1864340.0,79123
71,False,6300268.0,1864327.001,79133
72,False,6310739.0,1864323.0,79136
73,False,6300038.0,1864322.0,79137
74,False,6296009.0,1864321.0,79138
75,False,6295797.064,1864309.144,79145
76,False,6296898.999,1864297.0,79153
77,False,6300052.0,1864291.0,79156
78,False,6297787.002,1864290.347,79157
79,False,6296259.0,1864289.0,79160
80,False,6296276.001,1864288.0,79161
81,False,6295995.592,1864284.241,79162
82,False,6296623.0,1864283.0,79163
83,False,6296548.0,1864282.0,79164
84,False,6296504.0,1864281.0,79165
85,False,6299961.0,1864281.0,79166
86,False,6300057.999,1864278.0,79169
87,False,6311111.0,1864272.0,79175
88,False,6309616.0,1864269.0,79176
89,False,6299070.0,1864263.0,79182
90,False,6310701.0,1864253.0,79189
91,False,6304358.0,1864244.0,79193
92,False,6296557.999,1864232.0,79200
93,False,6310687.999,1864229.0,79203
94,False,6298318.56,1864224.28,79206
95,False,6304977.0,1864215.0,79213
96,False,6295530.587,1864211.867,79217
97,False,6305762.0,1864209.0,79219
98,False,6296566.0,1864205.0,79223
99,False,6296596.0,1864205.0,79224
100,False,6296498.0,1864203.001,79226
101,False,6296645.001,1864203.001,79227
102,False,6299202.0,1864196.706,79235
103,False,6295976.0,1864193.0,79238
104,False,6296573.0,1864169.0,79250
105,False,6298718.181,1864167.499,79252
106,False,6296657.0,1864163.0,79256
107,False,6298619.546,1864159.947,79259
108,False,6295968.999,1864158.0,79261
109,False,6295362.0,1864155.0,79265
110,False,6296663.0,1864136.0,79280
111,False,6296585.0,1864135.0,79281
112,False,6296728.0,1864135.0,79282
113,False,6296629.0,1864134.0,79284
114,False,6311817.0,1864134.0,79285
115,False,6295965.0,1864123.0,79291
116,False,6298124.325,1864122.026,79292
117,False,6296918.0,1864102.0,79302
118,False,6296840.0,1864099.0,79306
119,False,6296675.0,1864098.0,79307
120,False,6296639.0,1864095.0,79308
121,False,6296596.0,1864094.0,79309
122,False,6297613.0,1864083.0,79311
123,False,6312450.0,1864075.0,79316
124,False,6296949.0,1864072.0,79318
125,False,6295954.0,1864067.0,79321
126,False,6296040.0,1864064.0,79325
127,False,6297106.0,1864054.0,79338
128,False,6304154.0,1864038.0,79349
129,False,6312033.0,1864032.0,79355
130,False,6295014.0,1864028.0,79359
131,False,6312422.0,1864013.0,79365
132,False,6310311.0,1864009.0,79369
133,False,6300189.969,1863969.933,79392
134,False,6299412.0,1863968.0,79395
135,False,6297352.201,1863967.861,79396
136,False,6302098.0,1863965.0,79401
137,False,6300816.0,1863957.999,79406
138,False,6296718.315,1863953.46,79410
139,False,6295941.0,1863943.0,79416
140,False,6298037.0,1863937.0,79418
141,False,6296073.0,1863906.0,79433
142,False,6299926.0,1863903.0,79435
143,False,6309272.0,1863900.0,79439
144,False,6304470.0,1863891.0,79447
145,False,6297233.177,1863880.589,79452
146,False,6297050.894,1863839.948,79473
147,False,6300382.0,1863831.001,79476
148,False,6294688.0,1863823.0,79481
149,False,6310453.0,1863807.0,79490
150,False,6296929.0,1863806.0,79491
151,False,6297302.0,1863773.0,79519
152,False,6330017.163,1863767.423,79522
153,False,6330004.622,1863757.942,79527
154,False,6297124.337,1863755.258,79528
155,False,6296614.001,1863755.0,79529
156,False,6330009.301,1863739.179,79533
157,False,6325517.0,1863736.0,79536
158,False,6296689.0,1863733.0,79539
159,False,6296982.0,1863726.0,79545
160,False,6296740.0,1863723.0,79548
161,False,6296782.0,1863717.0,79552
162,False,6300304.0,1863698.0,79564
163,False,6313051.0,1863697.0,79565
164,False,6329915.362,1863694.361,79568
165,False,6329441.62,1863694.272,79569
166,False,6330624.348,1863692.845,79571
167,False,6306518.0,1863684.0,79576
168,False,6308570.0,1863670.0,79589
169,False,6300175.0,1863662.0,79595
170,False,6329491.096,1863656.731,79598
171,False,6330498.927,1863639.816,79606
172,False,6330035.809,1863632.887,79610
173,False,6304879.0,1863627.0,79611
174,False,6296668.0,1863620.0,79616
175,False,6313902.0,1863610.0,79624
176,False,6330042.932,1863604.139,79628
177,False,6300110.0,1863600.0,79630
178,False,6311282.0,1863591.0,79635
179,False,6330013.853,1863587.761,79641
180,False,6329945.545,1863575.483,79647
181,False,6325563.0,1863568.0,79649
182,False,6330053.464,1863561.336,79653
183,False,6300167.0,1863556.0,79657
184,False,6329950.941,1863554.227,79658
185,False,6329929.535,1863543.391,79663
186,False,6292510.0,1863538.0,79665
187,False,6330061.179,1863529.987,79668
188,False,6294135.0,1863529.0,79669
189,False,6329989.58,1863525.542,79670
190,False,6328858.158,1863516.0,79674
191,False,6329640.627,1863510.887,79675
192,False,6329961.959,1863510.804,79676
193,False,6330156.121,1863495.201,79688
194,False,6329977.76,1863487.06,79695
195,False,6329969.097,1863482.715,79698
196,False,6329895.344,1863481.476,79700
197,False,6313863.0,1863477.0,79702
198,False,6329972.723,1863468.434,79711
199,False,6330078.828,1863459.257,79719
200,False,6329518.464,1863447.127,79728
201,False,6329687.89,1863439.79,79730
202,False,6329867.815,1863436.859,79732
203,False,6330085.868,1863429.661,79740
204,False,6329985.783,1863416.995,79752
205,False,6329978.066,1863413.726,79754
206,False,6310283.0,1863410.0,79758
207,False,6329708.095,1863406.408,79761
208,False,6329958.13,1863405.405,79762
209,False,6315065.0,1863404.0,79764
210,False,6301750.0,1863392.0,79772
211,False,6330094.605,1863390.81,79774
212,False,6329552.706,1863389.514,79779
213,False,6297012.0,1863381.0,79782
214,False,6329724.02,1863380.097,79783
215,False,6329577.925,1863359.567,79792
216,False,6330001.71,1863355.853,79794
217,False,6312239.0,1863349.0,79799
218,False,6329800.434,1863347.949,79800
219,False,6329981.57,1863340.601,79806
220,False,6325699.0,1863339.0,79808
221,False,6330007.182,1863335.123,79811
222,False,6329609.91,1863333.758,79813
223,False,6329752.432,1863333.156,79814
224,False,6304242.0,1863323.0,79816
225,False,6329982.405,1863320.28,79819
226,False,6329943.465,1863313.857,79827
227,False,6329763.341,1863310.132,79829
228,False,6300540.0,1863308.0,79832
229,False,6329666.717,1863306.158,79836
