wkt_geom,OBJECTID,stop_UID,stop_agenc,stop_id,stop_name,stop_lat,stop_lon,stop_code,location_t,parent_sta,wheelchair,intersecti,stop_place
Point (6272529.64543379843235016 1857334.23347872495651245),33,MTS_10064,MTS,10064.0,Taylor St & I-8 East (Ramp),32.75925323,-117.19050441,10064.0,0,,2,N-E/B,
Point (6276161.64538763463497162 1854557.23378339409828186),37,MTS_10076,MTS,10076.0,Lewis St & Stephens St,32.75171067,-117.17861058,10076.0,0,,0,N-E/B,lewste
Point (6277220.64523813128471375 1854554.23411747813224792),39,MTS_10080,MTS,10080.0,Lewis St & Ingalls St,32.7517283,-117.1751663,10080.0,0,,0,N-E/B,
Point (6279712.64550347626209259 1841375.23586922883987427),41,MTS_10086,MTS,10086.0,Broadway & State St,32.7155689,-117.1666847,10086.0,0,,1,N-E/B,amplza
Point (6279936.64505547285079956 1853819.23427514731884003),42,MTS_10088,MTS,10088.0,Washington St & Albatross St,32.74977421,-117.16631202,10088.0,0,,1,N-E/B,
Point (6280245.64542171359062195 1841381.23585723340511322),43,MTS_10090,MTS,10090.0,Broadway & Front St,32.71559826,-117.1649521,10090.0,0,,0,N-E/B,brofro
Point (6280972.64495196938514709 1853236.23445689678192139),45,MTS_10092,MTS,10092.0,University Av & 3rd Av,32.74819693,-117.1629261,10092.0,0,,1,N-E/B,
Point (6281120.64531213045120239 1841379.23586122691631317),47,MTS_10094,MTS,10094.0,Broadway & 3rd Av,32.71561383,-117.16210744,10094.0,0,,0,N-E/B,3rdbro
Point (6281677.64518238604068756 1841391.23583722114562988),49,MTS_10097,MTS,10097.0,Broadway & 5th Av,32.71566019,-117.16029698,10097.0,0,,0,N-E/B,5thbro
Point (6281693.64449422061443329 1853234.23446089029312134),50,MTS_10098,MTS,10098.0,University Av & 5th Av,32.74820876,-117.16058122,10098.0,0,,1,N-E/B,5thuni
Point (6281930.64533255994319916 1841390.23583923280239105),51,MTS_10099,MTS,10099.0,Broadway & 6th Av,32.71566351,-117.15947446,10099.0,0,,0,N-E/B,bro6th
Point (6283048.6450650542974472 1839842.23598247766494751),53,MTS_10105,MTS,10105.0,Market St & 10th Av,32.71143588,-117.15579614,10105.0,0,,0,N-E/B,
Point (6283267.64462704956531525 1853260.23473697900772095),54,MTS_10106,MTS,10106.0,University Av & 10th Av,32.74831789,-117.15546302,10106.0,0,,1,N-E/B,
Point (6283604.64526538550853729 1839849.23629656434059143),56,MTS_10108,MTS,10108.0,Market St & Park Bl,32.71146838,-117.15398888,10108.0,0,marpar,1,N-E/B,marpar
Point (6283610.64525339007377625 1841389.23584122955799103),57,MTS_10109,MTS,10109.0,Broadway & Park Bl,32.71570092,-117.15401278,10109.0,0,citcol,1,N-E/B,citcol
Point (6283820.64450530707836151 1853266.2347249835729599),59,MTS_10111,MTS,10111.0,University Av & Vermont St,32.74834756,-117.15366473,10111.0,0,,1,N-E/B,
Point (6284535.64405955374240875 1853265.23472698032855988),60,MTS_10114,MTS,10114.0,University Av & Richmond St,32.74836182,-117.15133939,10114.0,0,,1,N-E/B,
Point (6284906.64528605341911316 1837926.2362055629491806),61,MTS_10115,MTS,10115.0,Imperial Av & 16th St,32.70621434,-117.14970235,10115.0,0,,1,N-E/B,imp16
Point (6284953.64486396312713623 1839823.23602047562599182),62,MTS_10116,MTS,10116.0,Market St & 16th St,32.71142899,-117.14960278,10116.0,0,,1,N-E/B,2023-03-16 00:00:00
Point (6285496.64509029686450958 1837048.23664923012256622),63,MTS_10117,MTS,10117.0,Logan Av & Sigsbee St,32.7038153,-117.1477599,10117.0,0,,1,N-E/B,
Point (6285800.64481039345264435 1839820.23635455965995789),64,MTS_10118,MTS,10118.0,Market St & 19th St,32.7114408,-117.14684924,10118.0,0,,1,N-E/B,
Point (6286090.6448865532875061 1841375.23619730770587921),65,MTS_10119,MTS,10119.0,Broadway & 20th St,32.71572127,-117.14594994,10119.0,0,,1,N-E/B,
