OBJECTID,MGRA,CT10,CT10BG,SRA,MSA,City,ZIP,Sphere,CPA,CPASG,TAZ,Council,Super,LUZ,Elem,Unif,High,Coll,Transit,Shape_Leng,Shape_Area
2028,2078,3603,36032,5,0,14,92113,1469,1469,0,4354,8,1,108,0,30,0,4,1,1243.569881,62402.80592
2029,2079,3603,36032,5,0,14,92113,1469,1469,0,4354,8,1,108,0,30,0,4,1,1037.23868,53183.47943
2042,2092,3800,38001,1,0,14,92136,1491,1491,0,4314,8,1,104,0,30,0,4,1,1371.923112,78715.93981
2043,2093,3800,38001,1,0,14,92136,1491,1491,0,4314,8,1,104,0,30,0,4,1,1960.691951,212687.5446
2040,2090,3800,38001,1,0,14,92136,1491,1491,0,4314,8,1,104,0,30,0,4,1,2102.930829,138474.6672
2041,2091,3800,38001,1,0,14,92136,1491,1491,0,4314,8,1,104,0,30,0,4,1,1461.453727,70154.08056
2038,2088,3603,36033,5,0,14,92113,1469,1469,0,4337,8,1,108,0,30,0,4,1,793.93929,31248.18917
2039,2089,3603,36033,5,0,14,92113,1469,1469,0,4337,8,1,108,0,30,0,4,1,776.3561165,28361.90631
2036,2086,3603,36033,5,0,14,92113,1469,1469,0,4337,8,1,108,0,30,0,4,1,653.748086,20167.93406
2037,2087,3603,36033,5,0,14,92113,1469,1469,0,4337,8,1,108,0,30,0,4,1,657.8972032,22966.32056
2050,2100,3901,39011,1,0,14,92113,1469,1469,0,4223,8,1,107,0,30,0,4,1,465.881067,8922.121881
2051,2101,3901,39011,1,0,14,92113,1469,1469,0,4223,8,1,107,0,30,0,4,1,1411.161896,66664.59188
2048,2098,3901,39011,1,0,14,92102,1469,1469,0,4225,8,1,107,0,30,0,4,1,758.9635907,32234.75298
2049,2099,3901,39011,1,0,14,92113,1469,1469,0,4223,8,1,107,0,30,0,4,1,468.0895545,11919.69691
2046,2096,3800,38001,1,0,14,92136,1491,1491,0,4341,8,1,216,0,30,0,4,1,5763.792304,803791.6221
2047,2097,3901,39011,1,0,14,92102,1469,1469,0,4223,8,1,107,0,30,0,4,1,617.8570173,18819.89155
2044,2094,3800,38001,1,0,14,92136,1491,1491,0,4314,8,1,104,0,30,0,4,1,1522.17582,96311.87448
2045,2095,3800,38001,1,0,14,92136,1491,1491,0,4330,8,1,104,0,30,0,4,1,5112.973985,1116167.464
2122,2172,4000,40004,1,0,14,92102,1469,1469,0,4147,8,1,107,0,30,0,4,1,748.337392,26967.17121
2123,2173,4000,40004,1,0,14,92102,1469,1469,0,4147,8,1,107,0,30,0,4,1,958.3256732,56174.21385
2120,2170,4000,40003,1,0,14,92102,1469,1469,0,4148,8,1,107,0,30,0,4,1,905.7647299,43616.61071
2121,2171,4000,40003,1,0,14,92102,1469,1469,0,4147,8,1,107,0,30,0,4,1,480.1000915,14087.28772
2118,2168,4000,40003,1,0,14,92102,1469,1469,0,4148,8,1,107,0,30,0,4,1,900.8624097,43050.69879
2119,2169,4000,40003,1,0,14,92102,1469,1469,0,4148,8,1,107,0,30,0,4,1,1048.664593,62934.33242
2116,2166,4000,40003,1,0,14,92102,1469,1469,0,4148,8,1,107,0,30,0,4,1,795.8588936,38233.89726
2117,2167,4000,40003,1,0,14,92102,1469,1469,0,4148,8,1,107,0,30,0,4,1,927.5373497,42544.86763
2130,2180,4000,40004,1,0,14,92113,1469,1469,0,4205,8,1,107,0,30,0,4,1,863.2882557,39979.724
2131,2181,4100,41001,1,0,14,92102,1408,1408,0,3968,3,4,106,0,30,0,4,1,800.3729789,33956.27058
2128,2178,4000,40004,1,0,14,92102,1469,1469,0,4205,8,1,107,0,30,0,4,1,709.7285884,24754.24346
2129,2179,4000,40004,1,0,14,92113,1469,1469,0,4205,8,1,107,0,30,0,4,1,696.2278337,26003.79142
2126,2176,4000,40004,1,0,14,92102,1469,1469,0,4205,8,1,107,0,30,0,4,1,856.0957914,42943.58153
2127,2177,4000,40004,1,0,14,92102,1469,1469,0,4205,8,1,107,0,30,0,4,1,847.4239698,35564.47138
2124,2174,4000,40004,1,0,14,92102,1469,1469,0,4147,8,1,107,0,30,0,4,1,481.0576755,14128.53649
2125,2175,4000,40004,1,0,14,92102,1469,1469,0,4205,8,1,107,0,30,0,4,1,685.0690123,29972.17136
2138,2188,4100,41002,1,0,14,92102,1408,1408,0,4043,3,4,106,0,30,0,4,1,786.0269713,26120.08791
2139,2189,4100,41002,1,0,14,92102,1408,1408,0,4043,3,4,106,0,30,0,4,1,701.9688959,24679.44266
2136,2186,4100,41002,1,0,14,92102,1408,1408,0,4042,3,4,106,0,30,0,4,1,749.4243574,32788.5905
2137,2187,4100,41002,1,0,14,92102,1408,1408,0,4043,3,4,106,0,30,0,4,1,750.2473381,32877.665
2134,2184,4100,41001,1,0,14,92102,1408,1408,0,3968,3,4,106,0,30,0,4,1,794.2919665,31242.69039
2135,2185,4100,41002,1,0,14,92102,1408,1408,0,4042,3,4,106,0,30,0,4,1,769.4971234,34118.1113
2132,2182,4100,41001,1,0,14,92102,1408,1408,0,3968,3,4,106,0,30,0,4,1,813.893086,38416.08696
2133,2183,4100,41001,1,0,14,92102,1408,1408,0,3968,3,4,106,0,30,0,4,1,756.5035793,27235.68838
2146,2196,4100,41002,1,0,14,92102,1469,1469,0,4096,8,1,107,0,30,0,4,1,912.4276744,47838.97123
2147,2197,4100,41002,1,0,14,92102,1469,1469,0,4097,8,1,107,0,30,0,4,1,917.4484797,46704.46249
2144,2194,4100,41002,1,0,14,92102,1469,1469,0,4096,8,1,107,0,30,0,4,1,932.1583699,50427.7109
2145,2195,4100,41002,1,0,14,92102,1469,1469,0,4097,8,1,107,0,30,0,4,1,950.5512764,53714.76879
2142,2192,4100,41002,1,0,14,92102,1408,1408,0,4043,3,4,106,0,30,0,4,1,886.3906376,49902.00304
2143,2193,4100,41002,1,0,14,92102,1408,1408,0,4043,3,4,106,0,30,0,4,1,925.0513887,37944.47234
