from_node,to_node,distance,travel_time,link_type,route_id,route_type
10106,13391,0.075185891,9.02230692,0,"[1, 11]",3
10106,10111,0.065243955,7.8292746,0,"[1, 10, 11]",3
10106,10098,0.185168558,22.22022696,0,"[10, 11]",3
10106,12431,0.188896784,22.66761408,0,[120],3
10106,11225,1.448415801,173.80989612,0,"[120, 1]",3
10111,10106,0.065243955,7.8292746,0,"[1, 10, 11]",3
10111,10114,0.084506456,10.14077472,0,"[1, 11]",3
10111,13354,0.25476211,30.5714532,0,[10],3
10543,10150,0.110604038,13.27248456,0,[1],3
10543,10548,0.085749198,10.28990376,0,[1],3
10543,13554,0.305714532,36.68574384,0,[215],3
10543,10190,0.443658894,53.23906728,0,[215],3
10548,10543,0.085749198,10.28990376,0,[1],3
10548,10189,0.177712106,21.32545272,0,[1],3
13528,13485,0.106254441,12.75053292,0,[1],3
13528,13531,0.07456452,8.9477424,0,[1],3
13528,66145,0.179131620702,230.31208376,1,-1,-1
13528,63480,0.188728038479,242.650335188,1,-1,-1
13531,13528,0.07456452,8.9477424,0,[1],3
13531,10609,0.075807262,9.09687144,0,[1],3
10612,10609,0.040389115,4.8466938,0,[1],3
10612,10620,0.134216136,16.10593632,0,[1],3
10620,10612,0.134216136,16.10593632,0,[1],3
10620,10623,0.09320565,11.184678,0,[1],3
10620,10612,0.134216136,16.10593632,0,[1],3
10620,10623,0.09320565,11.184678,0,[1],3
10623,10620,0.09320565,11.184678,0,[1],3
10623,88979,0.084506456,10.14077472,0,[1],3
10247,88979,0.180818961,21.69827532,0,[1],3
10247,10639,0.146022185,17.5226622,0,[1],3
10639,10247,0.146022185,17.5226622,0,[1],3
10639,10257,0.118681861,14.24182332,0,[1],3
10260,10257,0.103147586,12.37771032,0,[1],3
10260,10655,0.08077823,9.6933876,0,[1],3
10655,10260,0.08077823,9.6933876,0,[1],3
10655,10659,0.075185891,9.02230692,0,[1],3
10673,10665,0.15534275,18.64113,0,[1],3
10673,10679,0.169634283,20.35611396,0,[1],3
10679,10673,0.169634283,20.35611396,0,[1],3
10679,10682,0.096933876,11.63206512,0,[1],3
10682,10679,0.096933876,11.63206512,0,[1],3
10682,10688,0.160313718,19.23764616,0,[1],3
10688,10682,0.160313718,19.23764616,0,[1],3
10688,10290,0.098176618,11.78119416,0,[1],3
10290,10688,0.098176618,11.78119416,0,[1],3
10290,10691,0.137944362,16.55332344,0,[1],3
10691,10290,0.137944362,16.55332344,0,[1],3
10691,10697,0.151614524,18.19374288,0,[1],3
10691,10284,0.246684287,29.60211444,0,[14],3
10691,12966,0.154100008,18.49200096,0,[14],3
10303,10697,0.219343963,26.32127556,0,[1],3
10303,10306,0.094448392,11.33380704,0,[1],3
10306,10303,0.094448392,11.33380704,0,[1],3
10306,10310,0.163420573,19.61046876,0,[1],3
10306,10303,0.094448392,11.33380704,0,[1],3
10306,10310,0.163420573,19.61046876,0,[1],3
10310,10306,0.163420573,19.61046876,0,[1],3
10310,12240,0.149750411,17.97004932,0,[1],3
11406,11033,0.065243955,7.8292746,0,[1],3
11406,11399,0.120545974,14.46551688,0,[1],3
11399,11406,0.120545974,14.46551688,0,[1],3
11399,11025,0.096312505,11.5575006,0,[1],3
11025,11399,0.096312505,11.5575006,0,[1],3
11025,11389,0.085749198,10.28990376,0,[1],3
11389,11025,0.085749198,10.28990376,0,[1],3
11389,11013,0.121788716,14.61464592,0,[1],3
11389,11412,0.480941154,57.71293848,0,"[1, 215]",3
11389,11377,0.295772596,35.49271152,0,"[1, 215]",3
11364,11369,0.083263714,9.99164568,0,[1],3
11364,10986,0.078292746,9.39512952,0,[1],3
10986,11364,0.078292746,9.39512952,0,[1],3
10986,11355,0.090720166,10.88641992,0,[1],3
10986,11377,0.498339542,59.80074504,0,"[1, 215]",3
10986,13484,0.260354449,31.24253388,0,"[1, 215]",3
10986,11364,0.078292746,9.39512952,0,[1],3
10986,11355,0.090720166,10.88641992,0,[1],3
10986,11377,0.498339542,59.80074504,0,"[1, 215]",3
10986,13484,0.260354449,31.24253388,0,"[1, 215]",3
11355,10986,0.090720166,10.88641992,0,[1],3
11355,11351,0.078914117,9.46969404,0,[1],3
11344,13484,0.087613311,10.51359732,0,[1],3
11344,10960,0.076428633,9.17143596,0,[1],3
11344,66145,0.15566525811,200.141046141,1,-1,-1
11344,63480,0.146916273171,188.89235122,1,-1,-1
10960,11344,0.076428633,9.17143596,0,[1],3
10960,11333,0.096933876,11.63206512,0,[1],3
11333,10960,0.096933876,11.63206512,0,[1],3
11333,11329,0.058408874,7.00906488,0,[1],3
11329,11333,0.058408874,7.00906488,0,[1],3
11329,10942,0.148507669,17.82092028,0,[1],3
10942,11329,0.148507669,17.82092028,0,[1],3
10942,11303,0.22369356,26.8432272,0,[1],3
