from_node,to_node,distance,travel_time,link_type,route_id,route_type
13510,10478,1.036446828,124.3736194,0,[1],3
10478,13510,1.036446828,124.3736194,0,[1],3
10478,13391,0.04970968,5.9651616,0,[1],3
13391,10478,0.04970968,5.9651616,0,[1],3
13391,10106,0.075185891,9.02230692,0,"[1, 11]",3
10106,13391,0.075185891,9.02230692,0,"[1, 11]",3
10106,10111,0.065243955,7.8292746,0,"[1, 10, 11]",3
10111,10106,0.065243955,7.8292746,0,"[1, 10, 11]",3
10111,10114,0.084506456,10.14077472,0,"[1, 11]",3
10114,10111,0.084506456,10.14077472,0,"[1, 11]",3
10114,10494,0.08699194,10.4390328,0,"[1, 11]",3
10494,10114,0.08699194,10.4390328,0,"[1, 11]",3
10494,12804,0.116817748,14.01812976,0,"[1, 11]",3
12804,10494,0.116817748,14.01812976,0,"[1, 11]",3
12804,12453,0.133594765,16.0313718,0,"[1, 11]",3
12453,12804,0.133594765,16.0313718,0,"[1, 11]",3
12453,12454,0.078914117,9.46969404,0,"[1, 11]",3
12454,12453,0.078914117,9.46969404,0,"[1, 11]",3
12454,10502,0.081399601,9.76795212,0,[1],3
10502,12454,0.081399601,9.76795212,0,[1],3
10502,10129,0.111225409,13.34704908,0,[1],3
10129,10502,0.111225409,13.34704908,0,[1],3
10129,10517,0.106254441,12.75053292,0,[1],3
10517,10129,0.106254441,12.75053292,0,[1],3
10517,10139,0.072079036,8.64948432,0,[1],3
10139,10517,0.072079036,8.64948432,0,[1],3
10139,10533,0.106254441,12.75053292,0,"[1, 6]",3
10533,10139,0.106254441,12.75053292,0,"[1, 6]",3
10533,10150,0.070214923,8.42579076,0,"[1, 6]",3
10150,10533,0.070214923,8.42579076,0,"[1, 6]",3
10150,10543,0.110604038,13.27248456,0,[1],3
10543,10150,0.110604038,13.27248456,0,[1],3
10543,10548,0.085749198,10.28990376,0,[1],3
10548,10543,0.085749198,10.28990376,0,[1],3
10548,10189,0.177712106,21.32545272,0,[1],3
10189,10548,0.177712106,21.32545272,0,[1],3
10189,10196,0.155964121,18.71569452,0,[1],3
10196,10189,0.155964121,18.71569452,0,[1],3
10196,10201,0.094448392,11.33380704,0,[1],3
10201,10196,0.094448392,11.33380704,0,[1],3
10201,10204,0.0621371,7.456452,0,[1],3
10204,10201,0.0621371,7.456452,0,[1],3
10204,13485,0.190139526,22.81674312,0,[1],3
13485,10204,0.190139526,22.81674312,0,[1],3
13485,13528,0.106254441,12.75053292,0,[1],3
13528,13485,0.106254441,12.75053292,0,[1],3
13528,13531,0.07456452,8.9477424,0,[1],3
13531,13528,0.07456452,8.9477424,0,[1],3
13531,10609,0.075807262,9.09687144,0,[1],3
10609,13531,0.075807262,9.09687144,0,[1],3
10609,10612,0.040389115,4.8466938,0,[1],3
10612,10609,0.040389115,4.8466938,0,[1],3
10612,10620,0.134216136,16.10593632,0,[1],3
10620,10612,0.134216136,16.10593632,0,[1],3
10620,10623,0.09320565,11.184678,0,[1],3
10623,10620,0.09320565,11.184678,0,[1],3
10623,88979,0.084506456,10.14077472,0,[1],3
88979,10623,0.084506456,10.14077472,0,[1],3
88979,10247,0.180818961,21.69827532,0,[1],3
10247,88979,0.180818961,21.69827532,0,[1],3
10247,10639,0.146022185,17.5226622,0,[1],3
10639,10247,0.146022185,17.5226622,0,[1],3
10639,10257,0.118681861,14.24182332,0,[1],3
10257,10639,0.118681861,14.24182332,0,[1],3
10257,10260,0.103147586,12.37771032,0,[1],3
10260,10257,0.103147586,12.37771032,0,[1],3
10260,10655,0.08077823,9.6933876,0,[1],3
10655,10260,0.08077823,9.6933876,0,[1],3
10655,10659,0.075185891,9.02230692,0,[1],3
10659,10655,0.075185891,9.02230692,0,[1],3
10659,10665,0.096933876,11.63206512,0,[1],3
10665,10659,0.096933876,11.63206512,0,[1],3
