OBJECTID,stop_UID,stop_agenc,stop_id,stop_name,stop_lat,stop_lon,stop_code,location_t,parent_sta,wheelchair,intersecti,stop_place
669,MTS_11080,MTS,11080,La Mesa Bl & El Cajon Bl,32.76809885,-117.0294605,11080,0,,1,N-W/B,
668,MTS_11079,MTS,11079,El Cajon Bl & Parks Av,32.76839032,-117.0339525,11079,0,,0,N-W/B,
671,MTS_11083,MTS,11083,Jamacha Rd & Osage Dr,32.71870613,-117.0232917,11083,0,,2,F-W/B,
670,MTS_11081,MTS,11081,San Vicente St & Sawtelle Av,32.71195674,-117.0266493,11081,0,,2,N-W/B,
664,MTS_11071,MTS,11071,San Vicente St & San Vicente Ct,32.70963065,-117.0333063,11071,0,,1,N-W/B,
663,MTS_11070,MTS,11070,Skyline Dr & Deerock Pl,32.70230789,-117.0347268,11070,0,,1,N-W/B,
667,MTS_11076,MTS,11076,San Vicente St & Rytko St,32.71089623,-117.0318059,11076,0,,2,N-W/B,
666,MTS_11074,MTS,11074,University Av & Parks Av,32.7606914,-117.0329764,11074,0,,1,N-W/B,
660,MTS_11067,MTS,11067,Skyline Dr & Siena St,32.70287609,-117.0365686,11067,0,,1,N-W/B,
659,MTS_11065,MTS,11065,El Cajon Bl & Keeney St,32.76890444,-117.0380723,11065,0,,1,N-W/B,
662,MTS_11069,MTS,11069,San Vicente St & Meadowbrook Dr,32.70870028,-117.0352519,11069,0,,1,N-W/B,
661,MTS_11068,MTS,11068,University Av & Lowell St,32.75801356,-117.0369925,11068,0,,1,N-W/B,
655,MTS_11058,MTS,11058,Madera St & Primera St,32.72040309,-117.0489859,11058,0,,2,F-W/B,
654,MTS_11056,MTS,11056,Lisbon St & Imperial Av,32.71210461,-117.0486831,11056,0,,1,N-W/B,
658,MTS_11063,MTS,11063,Skyline Dr & Sychar Rd,32.70355163,-117.0426697,11063,0,,1,N-W/B,
657,MTS_11062,MTS,11062,Madera St & Shirley Ln,32.72601005,-117.043444,11062,0,,2,N-W/B,
771,MTS_11263,MTS,11263,Market St & 20th St,32.71164973,-117.1460874,11263,0,,1,F-W/B,
770,MTS_11262,MTS,11262,Logan Av & Beardsley St,32.70289521,-117.1461577,11262,0,,1,F-W/B,
774,MTS_11266,MTS,11266,Adams Av & Florida St,32.76256161,-117.1440289,11266,0,,1,F-W/B,
772,MTS_11264,MTS,11264,Market St & 22nd St,32.7116496,-117.1442115,11264,0,,1,F-W/B,
763,MTS_11254,MTS,11254,University Av & Vermont St,32.74862428,-117.1537847,11254,0,,1,F-W/B,
756,MTS_11245,MTS,11245,University Av & 6th Av,32.74845244,-117.1599625,11245,0,,1,F-W/B,uni5th
767,MTS_11258,MTS,11258,Imperial Av & 16th St,32.70637054,-117.1497657,11258,0,,1,F-W/B,imp16
765,MTS_11256,MTS,11256,Market St & 14th St,32.71165737,-117.1522027,11256,0,,1,F-W/B,
749,MTS_11236,MTS,11236,Washington St & 3rd Av,32.75002431,-117.1629776,11236,0,,1,F-W/B,
745,MTS_11225,MTS,11225,Fashion Valley Rd & Hotel Circle N,32.76165904,-117.1692364,11225,0,,1,F-N/B,
754,MTS_11243,MTS,11243,Washington St & 5th Av,32.75004303,-117.1611889,11243,0,,1,F-W/B,
751,MTS_11240,MTS,11240,University Av & 4th Av,32.74830927,-117.1618572,11240,0,,1,F-W/B,
738,MTS_11213,MTS,11213,Lewis St & Palmetto Wy,32.75185651,-117.1778575,11213,0,,0,F-W/B,lewste
673,MTS_11089,MTS,11089,La Mesa Bl & Rosehedge Dr,32.76908948,-117.0125561,11089,0,,1,F-W/B,
742,MTS_11221,MTS,11221,Washington St & Goldfinch St,32.74995457,-117.1716187,11221,0,,1,F-W/B,
741,MTS_11217,MTS,11217,Lewis St & Jackdaw St,32.75188861,-117.1743126,11217,0,,0,F-W/B,
631,MTS_11024,MTS,11024,Olvera Av & San Onofre Ter,32.69897575,-117.0773449,11024,0,,1,N-W/B,
630,MTS_11023,MTS,11023,Roswell St & Hanover St,32.71477386,-117.0786083,11023,0,,2,N-W/B,
633,MTS_11026,MTS,11026,Streamview Dr & 55th St,32.74277747,-117.0770927,11026,0,,0,N-W/B,
632,MTS_11025,MTS,11025,El Cajon Bl & Dayton St,32.75818964,-117.0777123,11025,0,,1,F-W/B,
627,MTS_11020,MTS,11020,Grape St & Champion St,32.72609375,-117.0800089,11020,0,,2,M-Street-W/B,
626,MTS_11019,MTS,11019,Roswell St & Hilltop Dr,32.71406522,-117.0805816,11019,0,,2,N-W/B,
629,MTS_11022,MTS,11022,Imperial Av & 54th St,32.70722411,-117.0785536,11022,0,,1,N-W/B,
628,MTS_11021,MTS,11021,University Av & 54th St,32.74862597,-117.0783673,11021,0,,1,M-Street-W/B,univ54
622,MTS_11014,MTS,11014,University Av & 52nd St,32.74917524,-117.0833291,11014,0,,1,N-W/B,
621,MTS_11013,MTS,11013,El Cajon Bl & 52nd St,32.75740124,-117.0833679,11013,0,,1,N-W/B,
625,MTS_11017,MTS,11017,University Av & Shiloh Rd,32.74920485,-117.0813845,11017,0,,1,M-Street-W/B,
623,MTS_11015,MTS,11015,Imperial Av & San Jacinto Dr,32.70583391,-117.0825553,11015,0,,1,N-W/B,
618,MTS_11010,MTS,11010,El Cajon Bl & Altadena Av,32.75707862,-117.085554,11010,0,,1,N-W/B,
617,MTS_11009,MTS,11009,Montezuma Rd & Collwood Bl,32.77027772,-117.0858418,11009,0,,1,N-W/B,
620,MTS_11012,MTS,11012,Roswell St & 51st St,32.71177093,-117.0841427,11012,0,,2,N-W/B,
619,MTS_11011,MTS,11011,Olvera Av & Euclid Av,32.6974148,-117.0846569,11011,0,,1,N-W/B,
651,MTS_11052,MTS,11052,University Av & Aragon Dr,32.75551704,-117.054603,11052,0,,1,N-W/B,
650,MTS_11051,MTS,11051,Skyline Dr & Leghorn Av,32.70138283,-117.0554319,11051,0,,1,N-W/B,woosky
653,MTS_11054,MTS,11054,Imperial Av & 68th St,32.71150275,-117.0512167,11054,0,,0,M-Street-W/B,
652,MTS_11053,MTS,11053,El Cajon Bl & 67th St,32.76873316,-117.0527067,11053,0,,1,N-W/B,
647,MTS_11047,MTS,11047,Imperial Av & 65th St,32.71068424,-117.0578739,11047,0,,1,N-W/B,
646,MTS_11044,MTS,11044,El Cajon Bl & Art St,32.76517643,-117.0607223,11044,0,,1,N-W/B,
649,MTS_11050,MTS,11050,Montezuma Rd & Reservoir Dr,32.76909711,-117.0563243,11050,0,,1,N-W/B,
648,MTS_11049,MTS,11049,El Cajon Bl & Rolando Bl,32.76720356,-117.0571398,11049,0,,1,N-W/B,
642,MTS_11039,MTS,11039,Montezuma Rd & 63rd St,32.77053055,-117.0640541,11039,0,,0,N-W/B,
639,MTS_11033,MTS,11033,El Cajon Bl & 59th St,32.75990727,-117.0703315,11033,0,,1,N-W/B,
645,MTS_11042,MTS,11042,Imperial Av & 63rd St,32.71012939,-117.0624234,11042,0,,1,M-Street-W/B,
643,MTS_11040,MTS,11040,University Av & College Av,32.75306553,-117.064218,11040,0,,1,N-W/B,unicol
635,MTS_11029,MTS,11029,Market St & Radio Dr,32.7101172,-117.0721438,11029,0,,2,N-W/B,
634,MTS_11027,MTS,11027,Roswell St & 56th St,32.71596119,-117.0753325,11027,0,,1,N-W/B,
638,MTS_11032,MTS,11032,Market St & Merlin Dr,32.7101058,-117.0709668,11032,0,,2,N-W/B,
637,MTS_11031,MTS,11031,Montezuma Rd & College Av,32.77085083,-117.0708888,11031,0,,1,F-W/B,
840,MTS_11358,MTS,11358,8th St & E Av,32.67737441,-117.1016977,11358,0,,1,N-W/B,
838,MTS_11355,MTS,11355,El Cajon Bl & Copeland Av,32.75529902,-117.1042107,11355,0,,1,F-W/B,
842,MTS_11364,MTS,11364,El Cajon Bl & Highland Av,32.75521584,-117.099539,11364,0,,1,F-W/B,
841,MTS_11361,MTS,11361,Poplar St & Columbine St,32.7371642,-117.1026495,11361,0,,1,F-W/B,
835,MTS_11351,MTS,11351,El Cajon Bl & Marlborough Av,32.75531149,-117.1063771,11351,0,,1,F-W/B,
834,MTS_11350,MTS,11350,Poplar St & Tuberose St,32.7339694,-117.1063713,11350,0,,1,F-W/B,
837,MTS_11354,MTS,11354,Adams Av & Biona Dr,32.76331745,-117.1044576,11354,0,,1,F-W/B,adabio
836,MTS_11353,MTS,11353,Ocean View Bl & San Miguel Av,32.70060811,-117.1043861,11353,0,,0,F-W/B,
829,MTS_11342,MTS,11342,Adams Av & 39th St,32.76338323,-117.1112049,11342,0,,1,F-W/B,ada39W
827,MTS_11338,MTS,11338,Market St & Gateway Center Wy,32.71161669,-117.1125587,11338,0,,1,F-W/B,
832,MTS_11346,MTS,11346,Ocean View Bl & 40th St,32.70139344,-117.1084506,11346,0,,0,F-W/B,
830,MTS_11344,MTS,11344,El Cajon Bl & 38th St,32.75534847,-117.1113313,11344,0,,1,N-W/B,
824,MTS_11335,MTS,11335,Adams Av & Cherokee Av,32.76340212,-117.1143995,11335,0,,1,F-W/B,
823,MTS_11334,MTS,11334,El Cajon Bl & 35th St,32.75540376,-117.1183446,11334,0,,0,F-W/B,
826,MTS_11337,MTS,11337,National Av & 38th St,32.69612796,-117.11269,11337,0,,1,F-W/B,
825,MTS_11336,MTS,11336,University Av & 37th St,32.74978461,-117.1134235,11336,0,,1,F-W/B,
860,MTS_11390,MTS,11390,Montezuma Rd & 54th St,32.77133829,-117.0797846,11390,0,,1,F-W/B,
859,MTS_11389,MTS,11389,El Cajon Bl & 54th St,32.75786887,-117.080048,11389,0,,1,F-W/B,elc54
862,MTS_11393,MTS,11393,Grape St & 55th St,32.72759069,-117.0772916,11393,0,,0,F-W/B,
861,MTS_11391,MTS,11391,Olvera Av & Santa Isabel Dr,32.69856663,-117.0801463,11391,0,,1,M-Street-W/B,
854,MTS_11382,MTS,11382,Logan Av & Euclid Av,32.69690655,-117.0866512,11382,0,,1,F-W/B,logeuc
853,MTS_11380,MTS,11380,University Av & Winona Av,32.74963152,-117.0877893,11380,0,,1,N-W/B,
857,MTS_11386,MTS,11386,Olvera Av & Gwen St,32.69798242,-117.081597,11386,0,,1,F-W/B,
855,MTS_11384,MTS,11384,Federal Bl & Pentecost Wy,32.72160189,-117.0829839,11384,0,,0,F-W/B,
848,MTS_11371,MTS,11371,Logan Av & 47th St,32.69691835,-117.0941958,11371,0,,1,F-W/B,47log
847,MTS_11370,MTS,11370,Logan Av & 46th St,32.69692169,-117.0961136,11370,0,,1,F-W/B,
851,MTS_11377,MTS,11377,El Cajon Bl & Winona Av,32.7567288,-117.0880975,11377,0,,1,F-W/B,
849,MTS_11375,MTS,11375,Imperial Av & 49th St,32.70427542,-117.0898646,11375,0,,1,F-W/B,
844,MTS_11367,MTS,11367,Imperial Av & Greenwood Cemetery,32.70428945,-117.1018439,11367,0,,1,F-W/B,
843,MTS_11365,MTS,11365,Ocean View Bl & 45th St,32.70058032,-117.0984599,11365,0,,0,F-W/B,
846,MTS_11369,MTS,11369,El Cajon Bl & Chamoune Av,32.75546769,-117.0972874,11369,0,,1,F-W/B,
845,MTS_11368,MTS,11368,Market St & 45th St,32.71156054,-117.0976651,11368,0,,0,N-W/B,
800,MTS_11299,MTS,11299,National Av & 30th St,32.69602485,-117.1296176,11299,0,,1,F-W/B,
799,MTS_11298,MTS,11298,University Av & 30th St,32.74856439,-117.1305194,11298,0,,1,F-W/B,uni30t
802,MTS_11301,MTS,11301,University Av & Illinois St,32.74858196,-117.1280542,11301,0,,1,F-W/B,
801,MTS_11300,MTS,11300,Beech St & Fern St,32.72137939,-117.1296788,11300,0,,1,F-W/B,
793,MTS_11291,MTS,11291,Adams Av & Utah St,32.76297665,-117.1329568,11291,0,,1,F-W/B,
792,MTS_11290,MTS,11290,El Cajon Bl & Utah St,32.75547964,-117.1328263,11290,0,,1,F-W/B,
798,MTS_11297,MTS,11297,Adams Av & 30th St,32.76298262,-117.1305821,11297,0,,1,F-W/B,30ada
797,MTS_11296,MTS,11296,El Cajon Bl & 30th St,32.75549333,-117.1305268,11296,0,,1,F-W/B,elc30
785,MTS_11280,MTS,11280,C St & 26th St,32.71695476,-117.1384325,11280,0,,1,F-W/B,
784,MTS_11279,MTS,11279,Main St & 26th St,32.69353152,-117.1384955,11279,0,,1,F-N/B,
790,MTS_11288,MTS,11288,C St & 28th St,32.71698302,-117.1341184,11288,0,,1,F-W/B,
787,MTS_11284,MTS,11284,National Av & 27th St,32.69602611,-117.135969,11284,0,,1,F-W/B,
777,MTS_11271,MTS,11271,Adams Av & Panorama Dr (E),32.76294882,-117.1402724,11271,0,,0,F-W/B,
776,MTS_11270,MTS,11270,El Cajon Bl & Alabama St,32.75544263,-117.1429353,11270,0,,1,F-W/B,
782,MTS_11277,MTS,11277,Logan Av & Sampson St,32.69824122,-117.1394304,11277,0,,1,F-W/B,
780,MTS_11275,MTS,11275,Market St & 25th St,32.7117102,-117.1407757,11275,0,,1,F-W/B,
820,MTS_11329,MTS,11329,El Cajon Bl & 35th St,32.75539432,-117.117733,11329,0,,1,N-W/B,
819,MTS_11327,MTS,11327,Adams Av & 35th St,32.76341841,-117.1175616,11327,0,,1,F-W/B,
822,MTS_11333,MTS,11333,El Cajon Bl & 36th St,32.75538371,-117.1161131,11333,0,,1,F-W/B,
821,MTS_11331,MTS,11331,University Av & 36th St,32.74983055,-117.1158894,11331,0,,1,F-W/B,
814,MTS_11319,MTS,11319,Ocean View Bl & 33rd St,32.70131129,-117.1228926,11319,0,,0,F-W/B,
813,MTS_11317,MTS,11317,Market St & 33rd St,32.71190442,-117.1228382,11317,0,,0,N-W/B,
818,MTS_11324,MTS,11324,Ocean View Bl & 35th St,32.70137042,-117.1191907,11324,0,,0,F-W/B,
817,MTS_11323,MTS,11323,Imperial Av & Francis St,32.70613565,-117.1196765,11323,0,,2,N-W/B,
810,MTS_11311,MTS,11311,Imperial Av & 32nd St,32.70652477,-117.1256685,11311,0,,1,F-W/B,imp32
809,MTS_11310,MTS,11310,Ocean View Bl & 32nd St,32.70128205,-117.1254669,11310,0,,0,F-W/B,
812,MTS_11316,MTS,11316,National Av & 33rd St,32.6960748,-117.1233641,11316,0,,1,F-W/B,
811,MTS_11315,MTS,11315,University Av & Bancroft St,32.74858117,-117.1242944,11315,0,,1,F-W/B,
805,MTS_11304,MTS,11304,Market St & 31st St,32.71178505,-117.1276519,11304,0,,1,F-W/B,
804,MTS_11303,MTS,11303,El Cajon Bl & Illinois St,32.75549745,-117.128019,11303,0,,1,F-W/B,
808,MTS_11309,MTS,11309,National Av & 32nd St,32.6960555,-117.1256978,11309,0,,1,F-W/B,nat32
807,MTS_11308,MTS,11308,Main St & 32nd St,32.69279601,-117.1256654,11308,0,,1,F-W/B,main32
519,MTS_10858,MTS,10858,Market St & Park Bl,32.71164624,-117.154098,10858,0,marpar,1,F-W/B,marpar
518,MTS_10856,MTS,10856,Market St & 10th Av,32.71162453,-117.1551836,10856,0,,0,N-W/B,
523,MTS_10863,MTS,10863,Broadway & 15th St,32.71584694,-117.1502071,10863,0,,1,N-W/B,15bro
522,MTS_10862,MTS,10862,University Av & Richmond St,32.74867435,-117.1510726,10862,0,,1,N-W/B,
512,MTS_10847,MTS,10847,University Av & 7th Av,32.74847449,-117.1580894,10847,0,,1,N-W/B,uni7th
511,MTS_10846,MTS,10846,Market St & 6th Av,32.7115798,-117.1590227,10846,0,,0,N-W/B,
515,MTS_10852,MTS,10852,University Av & 9th Av,32.74849414,-117.1561641,10852,0,,1,N-W/B,
513,MTS_10848,MTS,10848,Market St & 8th Av,32.71162721,-117.1570628,10848,0,,0,N-W/B,
508,MTS_10839,MTS,10839,Broadway & Union St,32.71582801,-117.1659175,10839,0,,1,N-W/B,brouni
507,MTS_10838,MTS,10838,Washington St & Albatross St,32.75000797,-117.1659242,10838,0,,1,N-W/B,
510,MTS_10841,MTS,10841,Broadway & 4th Av,32.71579056,-117.1608803,10841,0,,1,N-W/B,bro4th
509,MTS_10840,MTS,10840,Broadway & 1st Av,32.71585513,-117.1636705,10840,0,,1,N-W/B,bro1st
