stop_id,stop_lat,stop_lon,string_id
60726,32.78542394,-117.0017229,60726
12049,32.71857729,-117.1556907,12049
11656,32.7159774,-117.155664,11656
11654,32.71692554,-117.155677,11654
12048,32.71348748,-117.1556319,12048
12050,32.71023346,-117.1556017,12050
11657,32.71176685,-117.1556402,11657
99005,32.70750534,-117.1550698,99005
99367,32.71769488,-117.154586,99367
12782,32.71635101,-117.1545657,12782
99343,32.7165295,-117.154587,99343
12781,32.7139981,-117.1545903,12781
99010,32.70833408,-117.1544996,99010
12441,32.71139567,-117.1545343,12441
75102,32.70587009,-117.1532179,75102
75103,32.70578492,-117.1533259,75103
75100,32.70523403,-117.1538999,75100
70009,32.7060948,-117.1528967,70009
88899,32.70555096,-117.1522829,88899
91101,32.70605117,-117.1532246,91101
91102,32.70560244,-117.152947,91102
88984,32.71373903,-117.1519106,88984
99288,32.66808777,-117.1008249,99288
99281,32.66787097,-117.1007773,99281
50140,32.6659013,-117.1077704,50140
99282,32.66620281,-117.1074939,99282
99286,32.66964963,-117.0951273,99286
99315,32.66937711,-117.0955894,99315
99285,32.67077924,-117.0911119,99285
99316,32.67070397,-117.0908642,99316
50008,32.67125056,-117.0889002,50008
50065,32.67136504,-117.089041,50065
59003,32.6671752,-117.1032206,59003
99308,32.66712191,-117.104169,99308
50011,32.67279173,-117.0833353,50011
50082,32.6726873,-117.0841467,50082
50040,32.67183694,-117.0867383,50040
50068,32.67196519,-117.086876,50068
50012,32.67364475,-117.0803374,50012
50083,32.67360803,-117.0808927,50083
12411,32.71964764,-117.1637294,12411
12751,32.71553186,-117.1637498,12751
99118,32.715926,-117.1637493,99118
11637,32.74341279,-117.163901,11637
12759,32.7434827,-117.1637391,12759
60546,32.71686628,-117.1637103,60546
12753,32.72431993,-117.163755,12753
12415,32.72595816,-117.1637395,12415
12756,32.72844805,-117.1637751,12756
11636,32.72943597,-117.1639837,11636
12014,32.73113997,-117.1639948,12014
12757,32.73158666,-117.1638011,12757
12016,32.73322041,-117.1640197,12016
12417,32.73332364,-117.1638126,12417
12416,32.73649246,-117.1638422,12416
12015,32.73759311,-117.1640455,12015
12018,32.74677674,-117.1639326,12018
12418,32.74715709,-117.1637902,12418
12412,32.73856748,-117.1638572,12412
12013,32.73955812,-117.1640692,12013
12414,32.74066723,-117.1638725,12414
12017,32.74119891,-117.1640797,12017
12758,32.74194644,-117.1637167,12758
50029,32.66274886,-117.0986256,50029
50078,32.66315798,-117.0978855,50078
50027,32.66209762,-117.1009945,50027
50053,32.66220853,-117.1012523,50053
75014,32.66196491,-117.1080061,75014
75015,32.66170409,-117.1080052,75015
91136,32.66195902,-117.1079043,91136
91138,32.66162193,-117.1077646,91138
91139,32.66157522,-117.1073677,91139
75074,32.70527695,-117.138731,75074
75075,32.70528997,-117.1411539,75075
11684,32.71611353,-117.1403651,11684
11682,32.70648888,-117.1402776,11682
12464,32.70610834,-117.1400689,12464
12466,32.71043145,-117.1401093,12466
12076,32.70923456,-117.1402891,12076
12465,32.70832625,-117.1400881,12465
60220,32.69647225,-117.1381384,60220
11639,32.72013133,-117.1629931,11639
11640,32.7210545,-117.1630384,11640
12020,32.72383894,-117.163012,12020
11641,32.72525162,-117.1630201,11641
