MGRA,population,avg_income
1,41,112737.33333333333
2,81,163858.4705882353
3,111,171303.01923076922
4,73,143758.13333333333
5,63,155432.0357142857
6,191,142683.68421052632
7,60,148891.95833333334
8,85,144539.33333333334
9,63,127110.28
10,36,158702.4
11,65,181134.56
12,54,134909.81818181818
13,62,123874.32
14,76,115025.69696969698
15,27,96811.61538461539
16,125,128928.55357142857
17,25,147533.25
18,53,148235.57142857142
19,11,110555.6
20,79,128131.39393939394
21,44,138699.05263157896
22,21,107665.375
23,88,162574.46153846153
24,31,148539.57142857142
25,63,112084.72
26,70,113203.65384615384
27,96,123058.73809523809
28,39,163063.64285714287
29,55,127093.81481481482
30,36,161519.2
31,39,112700.52631578948
32,30,152026.5
33,42,155634.2
34,58,120156.53571428571
35,54,118265.52380952382
36,44,188701.13333333333
37,21,103665.77777777778
38,53,147154.30434782608
39,32,151928.625
40,17,123869.22222222222
41,37,152108.42857142858
42,53,111489.92592592593
43,92,139092.97435897434
44,47,129443.0
45,16,146542.5
46,50,101890.16666666667
47,47,117239.09090909091
48,21,113648.75
49,32,158071.0
50,70,136720.38709677418
51,11,133843.0
52,13,157926.42857142858
53,28,134211.9090909091
54,28,94845.88888888889
55,1,205309.0
56,21,137315.77777777778
57,9,66218.6
58,29,95751.73333333334
59,59,163446.26086956522
60,30,178051.38461538462
61,29,124962.6
62,50,161865.65
63,60,127704.82142857143
64,214,107610.64948453609
65,65,99948.3
66,53,95395.90909090909
67,105,84371.26315789473
68,81,123277.02777777778
69,95,100036.27272727272
70,54,121551.1
71,73,99408.35135135135
72,16,161707.0
73,33,131353.0
74,87,107532.475
75,126,109639.55932203389
76,75,106925.09090909091
77,81,94598.93103448275
78,85,131123.71739130435
79,25,74662.53333333334
80,12,91961.33333333333
81,31,80322.88235294117
82,0,0
83,59,112946.76923076923
84,62,97303.75
85,111,109054.82352941176
86,37,97800.52631578948
87,51,94864.0
88,0,0
89,40,116332.5
90,50,83198.08333333333
91,306,114920.5034965035
92,5,124141.33333333333
93,95,110696.69230769231
94,13,119327.57142857143
95,0,0
96,37,155787.66666666666
97,110,81075.46153846153
98,67,101589.7741935484
99,105,78541.47169811321
100,138,92875.01538461538
101,420,88508.10555555555
102,63,80842.70370370371
103,46,70127.33333333333
104,83,85358.83870967742
105,238,84539.24347826088
106,90,85581.4
107,61,73424.0
108,106,88799.72222222222
109,25,65515.882352941175
110,75,78579.16666666667
111,78,94630.1052631579
112,99,94836.51020408163
113,0,0
114,115,95904.2156862745
115,79,103000.70588235294
116,252,73664.67768595042
117,144,72366.25
118,122,78686.46153846153
119,64,97088.62068965517
120,55,91149.11538461539
121,82,69909.73529411765
122,8,83702.0
123,34,81516.63157894737
124,159,93594.28169014085
125,59,63199.74074074074
126,36,86452.75
127,107,72478.27083333333
128,172,83154.49411764706
129,139,89691.1129032258
130,87,92002.59523809524
131,244,83379.60550458716
132,146,106283.01449275362
133,86,86524.45
134,110,94412.72727272728
135,234,74056.17272727273
136,201,77360.4945054945
137,31,98790.375
138,2,52667.0
139,98,90911.11538461539
140,42,68481.61904761905
141,57,62879.04
142,52,108842.58333333333
143,46,104075.79166666667
144,15,78420.9
145,81,94803.425
146,97,94419.98076923077
147,111,94387.6724137931
148,127,77172.06349206349
149,78,101062.80487804877
150,130,84533.42857142857
151,69,77524.57894736843
152,55,82290.66666666667
153,41,54521.57894736842
154,28,109183.375
155,83,79857.44444444444
156,129,85092.21538461538
157,177,94841.67
158,0,0
159,174,79360.3953488372
160,194,83259.22680412371
161,100,79816.29411764706
162,17,77016.875
163,41,93321.48148148147
164,0,0
165,24,53171.857142857145
166,430,86713.57327586207
167,201,82243.55208333333
168,43,76203.86956521739
169,401,84057.84183673469
170,75,92561.72727272728
171,133,73504.46031746031
172,82,96565.21212121213
173,69,77678.11111111111
174,93,81404.8
175,4,32874.333333333336
176,18,87773.8
177,345,84528.14444444445
178,336,81831.4678362573
179,148,88842.13513513513
180,339,79797.578125
181,97,75256.13333333333
182,94,70050.91304347826
183,87,75941.27777777778
184,61,111114.51612903226
185,93,75595.60869565218
186,157,73978.8
187,29,56047.666666666664
188,332,79033.98203592814
189,32,57540.31578947369
190,246,91585.19083969465
191,138,85387.7
192,62,62413.75
193,0,0
194,895,83111.23809523809
195,165,83880.85365853658
196,210,82590.70689655172
197,4,108474.0
198,110,81095.57142857143
199,159,80812.2125
200,291,78857.89436619719
201,96,74254.85714285714
202,101,95247.46
203,0,0
204,0,0
205,181,79022.28260869565
206,18,71412.16666666667
207,65,70824.35135135135
208,154,91204.32098765433
209,354,83711.3687150838
210,29,89770.33333333333
211,148,86008.28787878787
212,0,0
213,25,63177.13333333333
214,32,72682.22222222222
215,20,82528.0
216,18,70011.41666666667
217,40,89039.93333333333
218,0,0
219,0,0
220,6,120069.25
221,46,82411.66666666667
222,40,86304.25
223,63,71684.53125
224,56,63238.8
225,105,76235.20408163265
226,93,73714.67441860466
227,130,80940.54098360655
228,282,87066.39568345324
229,195,86287.92452830188
230,158,84957.29333333333
231,0,0
232,161,79311.86419753087
233,111,50295.163265306124
234,74,60150.34210526316
235,309,75525.28859060403
236,27,88695.9
