from_node,to_node,distance,travel_time,source_edge_id
5222,5221,0.036034221,0.001343438,210678
5221,5222,0.036034221,0.001343438,210678
5251,5252,0.266047256,0.011902615,211722
5252,5251,0.266047256,0.011902615,211722
5245,6356,0.309468052,0.034613016,211511
6356,5245,0.309468052,0.034613016,211511
5253,5254,0.370075112,0.018396321,211727
5254,5253,0.370075112,0.018396321,211727
13011,6081,0.395766347,0.044265205,215952
6081,13011,0.395766347,0.044265205,215952
3309,5221,0.782982438,0.029191364,210679
5221,3309,0.782982438,0.029191364,210679
4790,13011,0.789779832,0.070667487,215950
13011,4790,0.789779832,0.070667487,215950
5208,16446,0.909540208,0.101729175,210193
16446,5208,0.909540208,0.101729175,210193
4347,4344,0.975910054,0.033585363,138111
4344,4347,0.975910054,0.033585363,138111
5209,16238,1.102789446,0.070481992,210196
16238,5209,1.102789446,0.070481992,210196
9016,13231,1.112417368,0.041473446,215920
13231,9016,1.112417368,0.041473446,215920
15031,5300,1.15486908,0.129168428,212517
5300,15031,1.15486908,0.129168428,212517
12895,4504,1.187875003,0.044286678,215922
4504,12895,1.187875003,0.044286678,215922
1826,1829,1.194500684,0.044533699,137719
1829,1826,1.194500684,0.044533699,137719
3316,3318,1.292930556,0.048203388,116745
3318,3316,1.292930556,0.048203388,116745
12667,12681,1.430230005,0.31993334,230073
12681,12667,1.430230005,0.31993334,230073
8695,8691,1.512794869,0.075200572,102063
8691,8695,1.512794869,0.075200572,102063
2779,2782,1.678561828,0.187741794,60734
2782,2779,1.678561828,0.187741794,60734
99,98,1.777328083,0.198788485,32782
98,99,1.777328083,0.198788485,32782
556,555,1.822725818,0.116494901,138295
555,556,1.822725818,0.116494901,138295
8307,8306,1.854026019,0.069122301,119879
8306,8307,1.854026019,0.069122301,119879
16525,5207,1.878873212,0.420291968,210190
5207,16525,1.878873212,0.420291968,210190
10165,5285,1.910326566,0.284885255,224846
5285,10165,1.910326566,0.284885255,224846
12670,11692,1.9224765,0.430045745,230049
11692,12670,1.9224765,0.430045745,230049
8167,8169,1.951434277,0.109130854,133786
8169,8167,1.951434277,0.109130854,133786
3946,3945,1.955005378,0.218661124,150974
3945,3946,1.955005378,0.218661124,150974
12472,12470,2.010355156,0.074950607,137252
12470,12472,2.010355156,0.074950607,137252
14447,14453,2.076378899,0.116118183,131483
14453,14447,2.076378899,0.116118183,131483
15802,15804,2.222105492,0.08284514,138325
15804,15802,2.222105492,0.08284514,138325
1836,1828,2.259011124,0.084221066,119799
1828,1836,2.259011124,0.084221066,119799
5226,5290,2.340865009,0.290909216,212081
5290,5226,2.340865009,0.290909216,212081
12581,361,2.415019737,0.54022453,230105
361,12581,2.415019737,0.54022453,230105
15325,15313,2.4384,0.090909091,37618
15313,15325,2.4384,0.090909091,37618
14470,14462,2.457376162,0.137424848,102098
14462,14470,2.457376162,0.137424848,102098
15952,15960,2.462079068,0.137687851,131224
15960,15952,2.462079068,0.137687851,131224
12680,12667,2.49252226,0.55756135,230071
12667,12680,2.49252226,0.55756135,230071
5614,5613,2.55448134,0.317456223,138808
5613,5614,2.55448134,0.317456223,138808
5260,9908,2.626447088,0.130559885,211737
9908,5260,2.626447088,0.130559885,211737
5946,5948,2.639007336,0.327960627,141079
5948,5946,2.639007336,0.327960627,141079
8275,8288,2.726214078,0.338798178,133797
8288,8275,2.726214078,0.338798178,133797
3426,3429,2.743976774,0.175374321,150484
3429,3426,2.743976774,0.175374321,150484
2869,2867,2.875315917,0.107198309,119798
2867,2869,2.875315917,0.107198309,119798
2349,2339,2.891586698,0.161707381,131385
2339,2349,2.891586698,0.161707381,131385
201,5212,2.919707409,0.326559973,210285
5212,201,2.919707409,0.326559973,210285
5603,5602,2.954796247,0.110161516,138727
5602,5603,2.954796247,0.110161516,138727
5252,9904,3.040298899,0.136019099,211723
9904,5252,3.040298899,0.136019099,211723
16531,16528,3.091001864,0.345718712,150867
16528,16531,3.091001864,0.345718712,150867
1408,1403,3.138108067,0.140394956,36754
1403,1408,3.138108067,0.140394956,36754
12687,5917,3.152116876,0.705108464,230085
5917,12687,3.152116876,0.705108464,230085
5154,6086,3.203539992,0.119435248,216102
6086,5154,3.203539992,0.119435248,216102
6086,13358,3.213147553,0.179690159,216104
13358,6086,3.213147553,0.179690159,216104
2717,2720,3.238586389,0.724451143,138157
2720,2717,3.238586389,0.724451143,138157
2300,2301,3.273808163,0.366165015,12820
2301,2300,3.273808163,0.366165015,12820
13243,13238,3.296916087,0.368749562,53470
13238,13243,3.296916087,0.368749562,53470
16440,16442,3.321428009,0.371491143,150868
16442,16440,3.321428009,0.371491143,150868
13290,5158,3.345612395,0.12473203,216108
5158,13290,3.345612395,0.12473203,216108
7479,7475,3.3528,0.375,45081
7475,7479,3.3528,0.375,45081
5089,5270,3.389434464,0.151638979,211787
5270,5089,3.389434464,0.151638979,211787
2374,2380,3.407767598,0.217798829,131436
2380,2374,3.407767598,0.217798829,131436
15319,1886,3.440148889,0.51302626,224848
1886,15319,3.440148889,0.51302626,224848
15878,15873,3.463442403,0.387375,150861
15873,15878,3.463442403,0.387375,150861
1913,1935,3.482376116,0.194746338,137384
1935,1913,3.482376116,0.194746338,137384
16324,16320,3.523291017,0.394068877,24247
16320,16324,3.523291017,0.394068877,24247
9567,9565,3.580219961,0.177971644,137358
9565,9567,3.580219961,0.177971644,137358
16186,16185,3.64440537,0.407615132,150865
16185,16186,3.64440537,0.407615132,150865
14180,14181,3.667279656,0.820347095,136935
14181,14180,3.667279656,0.820347095,136935
2299,2300,3.672512587,0.410758834,12829
2300,2299,3.672512587,0.410758834,12829
7874,7872,3.708052038,0.138244603,121855
7872,7874,3.708052038,0.138244603,121855
2877,2874,3.720308497,0.138701552,120016
2874,2877,3.720308497,0.138701552,120016
14076,14080,3.720558153,0.138710859,116522
14080,14076,3.720558153,0.138710859,116522
9842,4659,3.72184988,0.832554107,229980
4659,9842,3.72184988,0.832554107,229980
15883,15875,3.742998867,0.4186425,150862
15875,15883,3.742998867,0.4186425,150862
10130,5235,3.773900616,0.422098763,211029
5235,10130,3.773900616,0.422098763,211029
16076,16074,3.807422581,0.425848088,150864
16074,16076,3.807422581,0.425848088,150864
15864,1945,3.808255023,0.567921591,224710
1945,15864,3.808255023,0.567921591,224710
12301,5227,3.810890556,0.340988776,210703
5227,12301,3.810890556,0.340988776,210703
9094,9092,3.888560813,0.248527509,35739
9092,9094,3.888560813,0.248527509,35739
2750,2752,3.911900437,0.437533603,54732
2752,2750,3.911900437,0.437533603,54732
1791,6534,3.943383857,0.441054923,194826
6534,1791,3.943383857,0.441054923,194826
15986,15985,4.080611651,0.456403415,150863
15985,15986,4.080611651,0.456403415,150863
6118,6143,4.093594366,0.228927745,216114
6143,6118,4.093594366,0.228927745,216114
953,961,4.143861473,0.463477706,5995
961,953,4.143861473,0.463477706,5995
13000,13005,4.201044998,0.208832667,116753
13005,13000,4.201044998,0.208832667,116753
345,342,4.2672,0.477272727,5575
342,345,4.2672,0.477272727,5575
10322,10323,4.2672,0.381818182,35574
10323,10322,4.2672,0.381818182,35574
13514,13516,4.344974932,0.971943211,117175
13516,13514,4.344974932,0.971943211,117175
5414,5404,4.363944139,0.278910429,28567
5404,5414,4.363944139,0.278910429,28567
10717,10721,4.364071859,0.488107536,55411
10721,10717,4.364071859,0.488107536,55411
9903,9902,4.364071862,0.278918592,63969
9902,9903,4.364071862,0.278918592,63969
10139,1212,4.478200013,0.667829875,224791
