node_index,is_stop_only,pos_x,pos_y,node_in_micro_network
1,FALSE,6283959.0,1839103.0,18008
3,FALSE,6283115.0,1839101.0,18010
4,FALSE,6283396.0,1839101.0,18011
6,FALSE,6284714.0,1839095.0,18013
7,FALSE,6289131.0,1839095.0,18014
10,FALSE,6310837.001,1839094.0,18017
12,FALSE,6285519.0,1839091.0,18019
13,FALSE,6287150.0,1839091.0,18020
15,FALSE,6284990.0,1839090.0,18022
17,FALSE,6285267.0,1839088.0,18024
19,FALSE,6290907.0,1839086.0,18026
20,FALSE,6291771.0,1839086.0,18027
21,FALSE,6285829.0,1839085.0,18028
22,FALSE,6288471.0,1839085.0,18029
23,FALSE,6292430.0,1839084.0,18030
28,FALSE,6292805.0,1839081.0,18035
29,FALSE,6286673.0,1839080.0,18036
31,FALSE,6298195.001,1839076.0,18038
32,FALSE,6318516.0,1839076.0,18039
33,FALSE,6298472.0,1839073.0,18040
35,FALSE,6292858.043,1839066.968,18042
38,FALSE,6285518.79,1839064.211,18045
41,FALSE,6299508.0,1839055.0,18048
42,FALSE,6313135.0,1839054.0,18049
47,FALSE,6294460.0,1839045.0,18054
48,FALSE,6300167.0,1839045.0,18055
49,FALSE,6302396.0,1839041.0,18056
51,FALSE,6295104.0,1839029.0,18058
53,FALSE,6308025.124,1861618.837,18060
55,FALSE,6319867.0,1839009.0,18062
56,FALSE,6320142.0,1839009.0,18063
57,FALSE,6320381.0,1839009.0,18064
60,FALSE,6302682.0,1839003.0,18067
62,FALSE,6298199.0,1838982.0,18069
65,FALSE,6309751.0,1838965.0,18072
68,FALSE,6326829.999,1838952.0,18075
69,FALSE,6305007.0,1838950.001,18076
70,FALSE,6293354.0,1838945.0,18077
72,FALSE,6308737.0,1838941.0,18079
75,FALSE,6293410.0,1838921.999,18082
77,FALSE,6293801.0,1838921.999,18084
80,FALSE,6285831.0,1838919.001,18087
82,FALSE,6310447.0,1838914.0,18089
83,FALSE,6315193.176,1824194.068,18090
84,FALSE,6287829.0,1838905.0,18091
85,FALSE,6287146.0,1838901.0,18092
88,FALSE,6292433.0,1838893.0,18095
91,FALSE,6291771.0,1838892.0,18098
93,FALSE,6292809.0,1838888.001,18100
94,FALSE,6309100.932,1838877.625,18101
95,FALSE,6311787.0,1838881.0,18102
96,FALSE,6325992.0,1838880.0,18103
97,TRUE,6302391.0,1838871.0,18104
98,FALSE,6325228.392,1838869.22,18105
99,FALSE,6325223.0,1838867.0,18106
100,FALSE,6310052.0,1838862.0,18107
101,FALSE,6318868.0,1838862.0,18108
104,FALSE,6293287.0,1838849.0,18111
105,FALSE,6326595.0,1838849.0,18112
106,FALSE,6288469.0,1838848.0,18113
107,FALSE,6288800.285,1838846.688,18114
111,FALSE,6323685.0,1838838.0,18118
117,FALSE,6283389.141,1838807.216,18124
120,FALSE,6317818.0,1838787.0,18127
121,FALSE,6303076.985,1838795.847,18128
126,FALSE,6302665.0,1838769.0,18133
127,FALSE,6317540.0,1838763.0,18134
129,FALSE,6321488.0,1838757.0,18136
130,FALSE,6326342.0,1838751.0,18137
131,FALSE,6312095.0,1838750.0,18138
133,FALSE,6318937.0,1838747.0,18140
135,FALSE,6302148.0,1838729.0,18142
136,FALSE,6281435.0,1838725.0,18143
137,FALSE,6282272.999,1838725.0,18144
138,FALSE,6281156.999,1838724.0,18145
140,FALSE,6281990.0,1838724.0,18147
141,FALSE,6283673.0,1838723.0,18148
142,FALSE,6293014.0,1838723.0,18149
143,FALSE,6283105.778,1838722.302,18150
147,FALSE,6284239.0,1838719.0,18154
149,FALSE,6293264.0,1838716.0,18156
150,FALSE,6293469.0,1838715.0,18157
151,FALSE,6284716.001,1838711.0,18158
154,FALSE,6288031.0,1838710.0,18161
155,FALSE,6289316.457,1838709.533,18162
156,FALSE,6289129.0,1838709.0,18163
161,FALSE,6289789.0,1838708.0,18168
162,FALSE,6290060.0,1838706.0,18169
163,FALSE,6290329.999,1838706.0,18170
164,FALSE,6290477.0,1838706.0,18171
165,FALSE,6290617.0,1838706.0,18172
167,FALSE,6287154.0,1838703.0,18174
169,FALSE,6291112.0,1838702.001,18176
173,FALSE,6292739.0,1838701.0,18180
176,FALSE,6323647.532,1832038.541,18183
179,FALSE,6311148.0,1838692.0,18186
181,FALSE,6294434.0,1838684.0,18188
184,FALSE,6311386.0,1838679.0,18191
187,FALSE,6299507.0,1838673.999,18194
188,FALSE,6295102.777,1838672.509,18195
190,FALSE,6327641.0,1838670.0,18197
192,FALSE,6322903.0,1838663.0,18199
193,FALSE,6311500.0,1838662.0,18200
197,FALSE,6317121.0,1838654.0,18204
199,FALSE,6326088.0,1838645.0,18206
202,FALSE,6304758.084,1838637.068,18209
203,FALSE,6304814.0,1838637.0,18210
204,FALSE,6299506.0,1838634.0,18211
207,FALSE,6319655.0,1838625.0,18214
208,FALSE,6315283.0,1838623.0,18215
209,FALSE,6285731.0,1838622.0,18216
211,FALSE,6306132.0,1838616.0,18218
212,FALSE,6315525.0,1838615.0,18219
213,FALSE,6306459.0,1838611.0,18220
216,FALSE,6311593.0,1838607.0,18223
219,FALSE,6318598.089,1838605.25,18226
221,FALSE,6308451.061,1838597.023,18228
224,FALSE,6285402.0,1838580.999,18231
227,FALSE,6320823.0,1838573.0,18234
229,FALSE,6299744.0,1838568.0,18236
231,FALSE,6292840.0,1838563.0,18238
232,FALSE,6315670.011,1858432.194,18239
235,FALSE,6293519.999,1838551.0,18242
237,FALSE,6308999.0,1838535.0,18244
240,FALSE,6289567.0,1838522.0,18247
241,FALSE,6287828.0,1838520.0,18248
242,FALSE,6288472.0,1838520.0,18249
244,FALSE,6318357.0,1838520.0,18251
246,FALSE,6289785.0,1838515.0,18253
248,FALSE,6290477.0,1838514.0,18255
250,FALSE,6291770.0,1838512.0,18257
251,FALSE,6292433.0,1838512.0,18258
253,FALSE,6303400.11,1838522.718,18260
254,FALSE,6286671.0,1838507.0,18261
255,TRUE,6302857.672,1838475.328,18262
256,FALSE,6309797.0,1838504.0,18263
262,FALSE,6294131.0,1838484.0,18269
263,FALSE,6294421.0,1838476.0,18270
267,FALSE,6294976.0,1838471.0,18274
268,FALSE,6310578.0,1838471.0,18275
269,FALSE,6320091.0,1838471.0,18276
271,FALSE,6300015.0,1838451.0,18278
272,FALSE,6316703.285,1858427.874,18279
273,FALSE,6320392.0,1838442.0,18280
274,FALSE,6300556.0,1838441.0,18281
276,FALSE,6310531.0,1838402.0,18283
278,FALSE,6292886.0,1838394.999,18285
280,FALSE,6300181.0,1838393.0,18287
282,FALSE,6293504.0,1838384.0,18289
285,FALSE,6309177.0,1838378.0,18292
286,FALSE,6300287.0,1838377.0,18293
287,FALSE,6316386.001,1838376.0,18294
295,FALSE,6312010.0,1838357.0,18302
296,FALSE,6301125.0,1838352.0,18303
298,FALSE,6319326.0,1838351.0,18305
300,FALSE,6281674.0,1838347.0,18307
303,FALSE,6322078.0,1838346.0,18310
306,FALSE,6281987.0,1838342.0,18313
307,FALSE,6283674.0,1838340.0,18314
313,FALSE,6287828.0,1838328.0,18320
314,FALSE,6288030.0,1838328.0,18321
315,FALSE,6288468.0,1838328.0,18322
318,FALSE,6289783.0,1838326.0,18325
319,FALSE,6317242.0,1838326.0,18326
321,FALSE,6290476.0,1838325.0,18328
322,FALSE,6291771.0,1838324.0,18329
323,FALSE,6301038.0,1838324.0,18330
327,FALSE,6285834.0,1838317.0,18334
328,FALSE,6286389.0,1838316.0,18335
329,FALSE,6286671.0,1838316.0,18336
330,FALSE,6287144.0,1838312.0,18337
334,FALSE,6302155.613,1838307.944,18341
339,FALSE,6301173.0,1838298.0,18346
340,FALSE,6306650.0,1838294.0,18347
343,FALSE,6303472.0,1838291.0,18350
344,FALSE,6305733.0,1838286.0,18351
345,FALSE,6306127.0,1838279.0,18352
347,FALSE,6316743.0,1838279.0,18354
349,FALSE,6307459.0,1838262.0,18356
352,FALSE,6301097.0,1838245.0,18359
353,FALSE,6292902.0,1838229.0,18360
354,FALSE,6308717.0,1838226.0,18361
357,FALSE,6293256.0,1838221.0,18364
358,FALSE,6293591.0,1838219.0,18365
359,FALSE,6314938.0,1838212.0,18366
365,FALSE,6316102.0,1838170.0,18372
371,FALSE,6289120.0,1838141.0,18378
373,FALSE,6288029.0,1838139.0,18380
376,FALSE,6324743.0,1838138.0,18383
377,FALSE,6289779.0,1838136.0,18384
378,FALSE,6292430.0,1838135.0,18385
380,FALSE,6293954.399,1838133.709,18387
383,FALSE,6302687.0,1838129.0,18390
386,FALSE,6292786.0,1838128.0,18393
388,FALSE,6293935.0,1838127.0,18395
390,FALSE,6293951.001,1838114.0,18397
392,FALSE,6309186.0,1838107.0,18399
402,FALSE,6324593.296,1838087.761,18409
403,FALSE,6295097.0,1838087.0,18410
407,FALSE,6311671.0,1838070.0,18414
409,FALSE,6311578.0,1838068.0,18416
412,FALSE,6311369.0,1838063.0,18419
413,FALSE,6311259.0,1838061.0,18420
414,FALSE,6293951.001,1838060.0,18421
417,FALSE,6282983.286,1838047.354,18424
420,FALSE,6281432.0,1838033.0,18427
423,FALSE,6324286.0,1838025.0,18430
427,FALSE,6285510.56,1838015.364,18434
429,FALSE,6281762.601,1838009.574,18436
