node_index,is_stop_only,pos_x,pos_y
0,FALSE,6282837,1839103
1,FALSE,6283959,1839103
2,FALSE,6284238,1839102
3,FALSE,6283115,1839101
4,FALSE,6283396,1839101
5,FALSE,6283674,1839098
6,FALSE,6284714,1839095
7,FALSE,6289131,1839095
8,FALSE,6287830,1839094
9,FALSE,6289315,1839094
10,FALSE,6310837.001,1839094
11,FALSE,6288031,1839092
12,FALSE,6285519,1839091
13,FALSE,6287150,1839091
14,FALSE,6311790,1839091
15,FALSE,6284990,1839090
16,FALSE,6285551,1839090
17,FALSE,6285267,1839088
18,FALSE,6285584.001,1839088
19,FALSE,6290907,1839086
20,FALSE,6291771,1839086
21,FALSE,6285829,1839085
22,FALSE,6288471,1839085
23,FALSE,6292430,1839084
24,FALSE,6311300,1839084
25,FALSE,6311737,1839084
26,FALSE,6290626,1839083
27,FALSE,6286112,1839081
28,FALSE,6292805,1839081
29,FALSE,6286673,1839080
30,FALSE,6286394,1839079
31,FALSE,6298195.001,1839076
32,FALSE,6318516,1839076
33,FALSE,6298472,1839073
34,FALSE,6293356,1839067
35,FALSE,6292858.043,1839066.968
36,FALSE,6298809,1839066
37,FALSE,6285584.473,1839064.476
38,FALSE,6285518.79,1839064.211
39,FALSE,6299044,1839063
40,FALSE,6299331,1839057
41,FALSE,6299508,1839055
42,FALSE,6313135,1839054
43,FALSE,6320629,1839053
44,FALSE,6299773,1839052
45,FALSE,6300038,1839047
46,FALSE,6301793,1839045.999
47,FALSE,6294460,1839045
48,FALSE,6300167,1839045
49,FALSE,6302396,1839041
50,FALSE,6310451,1839040
51,FALSE,6295104,1839029
52,FALSE,6311300,1839026
53,FALSE,6308025.124,1861618.837
54,FALSE,6300842.458,1839380.528
55,FALSE,6319867,1839009
56,FALSE,6320142,1839009
57,FALSE,6320381,1839009
58,FALSE,6319111.001,1839005
59,FALSE,6301582.702,1839003.135
60,FALSE,6302682,1839003
61,FALSE,6310053,1838983.999
62,FALSE,6298199,1838982
63,FALSE,6324290,1838973
64,FALSE,6309834,1838970
65,FALSE,6309751,1838965
66,FALSE,6285267,1838959
67,FALSE,6304820,1838954
68,FALSE,6326829.999,1838952
69,FALSE,6305007,1838950.001
70,FALSE,6293354,1838945
71,FALSE,6308572,1838941
72,FALSE,6308737,1838941
73,FALSE,6319699,1838928
74,FALSE,6293090,1838921.999
75,FALSE,6293410,1838921.999
