wkt_geom,OBJECTID,stop_UID,stop_agenc,stop_id,stop_name,stop_lat,stop_lon,stop_code,location_t,parent_sta,wheelchair,intersecti,stop_place
Point (6256889.6488267183303833 1826625.23649789392948151),1,MTS_10001,MTS,10001,Cabrillo National Monument,32.67445793,-117.2404257,10001,0,,1,M-Special_Loc,cabmon
Point (6246476.64701497554779053 1886807.22833839058876038),2,MTS_10003,MTS,10003,Pearl St & Draper Av,32.83957829,-117.2761868,10003,0,,1,N-E/B,
Point (6247208.64686329662799835 1887000.22893664240837097),3,MTS_10004,MTS,10004,Pearl St & Fay Av,32.84012848,-117.2738099,10004,0,,1,N-E/B,
Point (6248806.64662005007266998 1889065.22841556370258331),4,MTS_10006,MTS,10006,Torrey Pines Rd & Exchange Pl,32.8458467,-117.2686732,10006,0,,1,N-N/B,
Point (6250686.84627172350883484 1890130.82831847667694092),5,MTS_10007,MTS,10007,Torrey Pines Rd & Princess St,32.8488256,-117.2625854,10007,0,,0,N-E/B,
Point (6254912.64687521755695343 1871633.23112739622592926),6,MTS_10011,MTS,10011,Garnet Av & Everts St,32.79810093,-117.2482501,10011,0,,1,N-E/B,
Point (6255649.64671355485916138 1871054.23097306489944458),7,MTS_10012,MTS,10012,Grand Av & Fanuel St,32.79652904,-117.2458339,10012,0,,1,N-E/B,
Point (6256599.64678205549716949 1872051.23094755411148071),8,MTS_10013,MTS,10013,Garnet Av & Haines St,32.79929398,-117.2427736,10013,0,,1,N-E/B,
Point (6257083.64647021889686584 1872176.23102565109729767),9,MTS_10015,MTS,10015,Garnet Av & Ingraham St,32.79965017,-117.2412025,10015,0,,1,N-E/B,inggar
Point (6257742.64646455645561218 1872342.23069363832473755),10,MTS_10016,MTS,10016,Garnet Av & Jewell St,32.80012359,-117.2390632,10016,0,,1,N-E/B,
Point (6258571.64743122458457947 1852301.23337414860725403),11,MTS_10020,MTS,10020,Voltaire St & Mendocino St,32.74506671,-117.235749,10020,0,,1,N-E/B,
Point (6258819.64627905189990997 1872606.23114989697933197),12,MTS_10023,MTS,10023,Garnet Av & Lamont St,32.80087716,-117.2355667,10023,0,,1,N-E/B,garlam
Point (6259244.64739754796028137 1851495.2336738109588623),13,MTS_10024,MTS,10024,Voltaire St & San Clemente St,32.74286905,-117.2335356,10024,0,,1,N-E/B,
Point (6259995.64622363448143005 1872899.2312200665473938),14,MTS_10025,MTS,10025,Garnet Av & Noyes St,32.8017129,-117.2317488,10025,0,,1,N-E/B,
Point (6260406.64737012982368469 1849766.23352289199829102),15,MTS_10026,MTS,10026,Chatsworth Bl & Tennyson St,32.73814733,-117.229704,10026,0,,1,N-N/B,
Point (6260539.64743222296237946 1850532.23363131284713745),16,MTS_10027,MTS,10027,Voltaire St & Poinsettia Dr,32.74025595,-117.2292949,10027,0,,1,N-E/B,volpoi
Point (6261369.64675647020339966 1855038.23314948379993439),17,MTS_10029,MTS,10029,West Point Loma Bl & Adrian St,32.75266115,-117.2267331,10029,0,,1,N-E/B,
Point (6261349.64745263755321503 1846408.23433339595794678),18,MTS_10031,MTS,10031,Nimitz Bl & Rosecrans St,32.72894288,-117.2265353,10031,0,,0,M-Street-S/B,nimros
Point (6261805.64621254801750183 1872591.23117989301681519),19,MTS_10032,MTS,10032,Grand Av & Culver St,32.80091313,-117.2258495,10032,0,,1,N-E/B,
Point (6262188.64675888419151306 1855300.23328164219856262),20,MTS_10033,MTS,10033,West Point Loma Bl & Loma Riviera Dr,32.75340225,-117.2240775,10033,0,,1,M-Street-E/B,
Point (6262239.64436030387878418 1897104.22808556258678436),21,MTS_10034,MTS,10034,Nobel Dr & Lebon Dr,32.86829317,-117.2251832,10034,0,,1,N-E/B,nobleb
Point (6263245.64562913775444031 1874248.23114672303199768),22,MTS_10036,MTS,10036,Garnet Av & Bond St,32.805504,-117.2212138,10036,0,,1,N-E/B,
Point (6263113.64654929935932159 1856118.23328606784343719),23,MTS_10038,MTS,10038,Sports Arena Bl & Midway Dr,32.75567407,-117.2210938,10038,0,,1,M-Street-S/B,
Point (6264015.64671380817890167 1855475.23325972259044647),24,MTS_10040,MTS,10040,Midway Dr & Duke St,32.75392997,-117.2181407,10040,0,,1,N-S/B,
Point (6264715.64662612974643707 1854925.23337547481060028),25,MTS_10043,MTS,10043,Midway Dr & Kemper St,32.75243625,-117.2158474,10043,0,,1,N-S/B,
Point (6264271.64587372541427612 1873063.23122014105319977),26,MTS_10044,MTS,10044,Grand Av & Mission Bay Dr,32.8022735,-117.2178391,10044,0,,1,N-E/B,
Point (6266484.64538471400737762 1875033.23088906705379486),27,MTS_10045,MTS,10045,Balboa Av & Moraga Av,32.80774389,-117.2106967,10045,0,,2,M-Street-E/B,
Point (6267751.64580346643924713 1862993.23265939950942993),28,MTS_10048,MTS,10048,Morena Bl & Frankfort St,32.77468641,-117.206214,10048,0,,1,N-S/B,
Point (6268050.64422121644020081 1891975.2291572242975235),29,MTS_10049,MTS,10049,Governor Dr & Radcliffe Dr,32.85434508,-117.2061059,10049,0,,1,N-E/B,
Point (6268432.64575380086898804 1862492.2326771467924118),30,MTS_10050,MTS,10050,Morena Bl & Knoxville St,32.77332666,-117.2039837,10050,0,,1,N-S/B,
Point (6268974.64434172213077545 1884226.23021955788135529),31,MTS_10051,MTS,10051,Clairemont Dr & Merrimac Av,32.83307178,-117.2028667,10051,0,,1,M-Street-E/B,
Point (6272366.64543172717094421 1860849.23301039636135101),32,MTS_10062,MTS,10062,Linda Vista Rd & Colusa St,32.76890946,-117.1911378,10062,0,,1,N-E/B,
Point (6272529.64543379843235016 1857334.23347872495651245),33,MTS_10064,MTS,10064,Taylor St & I-8 East (Ramp),32.75925323,-117.1905044,10064,0,,2,N-E/B,
Point (6275125.64385071396827698 1884625.23040580749511719),34,MTS_10073,MTS,10073,Clairemont Mesa Bl & Longford St,32.83432122,-117.1828549,10073,0,,1,N-E/B,
Point (6275222.64300055801868439 1900111.22863322496414185),35,MTS_10074,MTS,10074,Miramar Rd & Miramar Mall,32.8768838,-117.1829903,10074,0,,1,N-E/B,mirmal
Point (6274953.64583513140678406 1845861.23509931564331055),36,MTS_10075,MTS,10075,N Harbor Dr & Laurel St (Coast Guard),32.72778181,-117.1822865,10075,0,,1,M-Street-E/B,
Point (6276161.64538763463497162 1854557.23378339409828186),37,MTS_10076,MTS,10076,Lewis St & Stephens St,32.75171067,-117.1786106,10076,0,,0,N-E/B,lewste
Point (6276250.643569216132164 1884599.23045781254768372),38,MTS_10077,MTS,10077,Clairemont Mesa Bl & Limerick Av,32.83427737,-117.1791919,10077,0,,1,N-E/B,
Point (6277220.64523813128471375 1854554.23411747813224792),39,MTS_10080,MTS,10080,Lewis St & Ingalls St,32.7517283,-117.1751663,10080,0,,0,N-E/B,
Point (6279626.64239463210105896 1900455.22892947494983673),40,MTS_10085,MTS,10085,Miramar Rd & Milch Rd,32.87793669,-117.1686566,10085,0,,1,N-E/B,
Point (6279712.64550347626209259 1841375.23586922883987427),41,MTS_10086,MTS,10086,Broadway & State St,32.7155689,-117.1666847,10086,0,,1,N-E/B,amplza
Point (6279936.64505547285079956 1853819.23427514731884003),42,MTS_10088,MTS,10088,Washington St & Albatross St,32.74977421,-117.166312,10088,0,,1,N-E/B,
Point (6280245.64542171359062195 1841381.23585723340511322),43,MTS_10090,MTS,10090,Broadway & Front St,32.71559826,-117.1649521,10090,0,,0,N-E/B,brofro
Point (6281232.64311963319778442 1884024.23095163702964783),44,MTS_10091,MTS,10091,Clairemont Mesa Bl & Shawline St (Kaiser),32.83281806,-117.1629573,10091,0,,1,N-W/B,clasha
Point (6280972.64495196938514709 1853236.23445689678192139),45,MTS_10092,MTS,10092,University Av & 3rd Av,32.74819693,-117.1629261,10092,0,,1,N-E/B,
Point (6281020.6438717246055603 1868869.23271839320659637),46,MTS_10093,MTS,10093,Genesee Av & Richland St,32.79116236,-117.1632153,10093,0,,1,N-E/B,
Point (6281120.64531213045120239 1841379.23586122691631317),47,MTS_10094,MTS,10094,Broadway & 3rd Av,32.71561383,-117.1621074,10094,0,,0,N-E/B,3rdbro
Point (6281486.64195546507835388 1900812.22887164354324341),48,MTS_10095,MTS,10095,Miramar Rd & Distribution Av,32.87896273,-117.1626088,10095,0,,1,N-E/B,
Point (6281677.64518238604068756 1841391.23583722114562988),49,MTS_10097,MTS,10097,Broadway & 5th Av,32.71566019,-117.160297,10097,0,,0,N-E/B,5thbro
Point (6281693.64449422061443329 1853234.23446089029312134),50,MTS_10098,MTS,10098,University Av & 5th Av,32.74820876,-117.1605812,10098,0,,1,N-E/B,5thuni
Point (6281930.64533255994319916 1841390.23583923280239105),51,MTS_10099,MTS,10099,Broadway & 6th Av,32.71566351,-117.1594745,10099,0,,0,N-E/B,bro6th
Point (6282403.6440584659576416 1859973.23345005512237549),52,MTS_10100,MTS,10100,Camino De La Reina & Camino Del Arroyo,32.76674662,-117.1584631,10100,0,,1,N-E/B,
Point (6283048.6450650542974472 1839842.23598247766494751),53,MTS_10105,MTS,10105,Market St & 10th Av,32.71143588,-117.1557961,10105,0,,0,N-E/B,
Point (6283267.64462704956531525 1853260.23473697900772095),54,MTS_10106,MTS,10106,University Av & 10th Av,32.74831789,-117.155463,10106,0,,1,N-E/B,
Point (6283447.64164239168167114 1901819.22882615029811859),55,MTS_10107,MTS,10107,Miramar Rd & Carroll Rd,32.88177728,-117.1562503,10107,0,,1,N-E/B,
Point (6283604.64526538550853729 1839849.23629656434059143),56,MTS_10108,MTS,10108,Market St & Park Bl,32.71146838,-117.1539889,10108,0,marpar,1,N-E/B,marpar
Point (6283610.64525339007377625 1841389.23584122955799103),57,MTS_10109,MTS,10109,Broadway & Park Bl,32.71570092,-117.1540128,10109,0,citcol,1,N-E/B,citcol
Point (6283683.64346696436405182 1870188.23237697780132294),58,MTS_10110,MTS,10110,Vista Hill Av & Meadowlark Dr,32.79485118,-117.1545878,10110,0,,1,N-E/B,
Point (6283820.64450530707836151 1853266.2347249835729599),59,MTS_10111,MTS,10111,University Av & Vermont St,32.74834756,-117.1536647,10111,0,,1,N-E/B,
Point (6284535.64405955374240875 1853265.23472698032855988),60,MTS_10114,MTS,10114,University Av & Richmond St,32.74836182,-117.1513394,10114,0,,1,N-E/B,
Point (6284906.64528605341911316 1837926.2362055629491806),61,MTS_10115,MTS,10115,Imperial Av & 16th St,32.70621434,-117.1497024,10115,0,,1,N-E/B,imp16
Point (6284953.64486396312713623 1839823.23602047562599182),62,MTS_10116,MTS,10116,Market St & 16th St,32.71142899,-117.1496028,10116,0,,1,N-E/B,16-Mar
Point (6285496.64509029686450958 1837048.23664923012256622),63,MTS_10117,MTS,10117,Logan Av & Sigsbee St,32.7038153,-117.1477599,10117,0,,1,N-E/B,
Point (6285800.64481039345264435 1839820.23635455965995789),64,MTS_10118,MTS,10118,Market St & 19th St,32.7114408,-117.1468492,10118,0,,1,N-E/B,
Point (6286090.6448865532875061 1841375.23619730770587921),65,MTS_10119,MTS,10119,Broadway & 20th St,32.71572127,-117.1459499,10119,0,,1,N-E/B,
Point (6286498.64505480229854584 1836212.23668080568313599),66,MTS_10122,MTS,10122,Logan Av & Cesar E Chavez Pkwy,32.70154139,-117.1444795,10122,0,,1,N-E/B,logces
Point (6286637.64510488510131836 1837912.23656164109706879),67,MTS_10123,MTS,10123,Imperial Av & 22nd St,32.70621679,-117.1440751,10123,0,,1,N-E/B,
Point (6286782.64153406023979187 1904068.2289213091135025),68,MTS_10124,MTS,10124,Miramar Rd & Dowdy Dr,32.88803742,-117.1454507,10124,0,,1,F-E/B,
Point (6287106.64482305943965912 1837911.23656363785266876),69,MTS_10127,MTS,10127,Imperial Av & 24th St,32.70622508,-117.1425505,10127,0,,1,N-E/B,
Point (6286397.6426321417093277 1883922.2311556488275528),70,MTS_10128,MTS,10128,Clairemont Mesa Bl & 8303,32.83266088,-117.1461408,10128,0,,1,M-Street-E/B,
Point (6287232.64391489326953888 1855708.23443414270877838),71,MTS_10129,MTS,10129,El Cajon Bl & Alabama St,32.75513971,-117.1426363,10129,0,,1,N-E/B,
Point (6287179.64402088522911072 1853246.23476497828960419),72,MTS_10130,MTS,10130,University Av & Alabama St,32.74837212,-117.1427401,10130,0,,1,M-Street-E/B,
Point (6287602.6415344625711441 1904621.22879956662654877),73,MTS_10132,MTS,10132,Miramar Rd & Cabot Dr,32.88957656,-117.1427951,10132,0,,1,N-E/B,
Point (6287785.64477738738059998 1839830.23633456230163574),74,MTS_10133,MTS,10133,Market St & 25th St,32.71151504,-117.1403966,10133,0,,1,N-E/B,
Point (6287685.64464929699897766 1841373.23620131611824036),75,MTS_10134,MTS,10134,Broadway & 25th St,32.71575334,-117.1407646,10134,0,,1,N-E/B,
Point (6287964.6437632143497467 1853240.23477697372436523),76,MTS_10136,MTS,10136,University Av & Louisiana St,32.74837408,-117.1401869,10136,0,,1,N-E/B,
Point (6288438.64445564150810242 1837928.2365296483039856),77,MTS_10137,MTS,10137,Imperial Av & 26th St,32.70630307,-117.1382212,10137,0,,1,N-E/B,
Point (6288449.64476172626018524 1841749.23610547184944153),78,MTS_10138,MTS,10138,C St & 26th St,32.71680461,-117.1382912,10138,0,,1,N-E/B,
Point (6288744.64351555705070496 1855704.23444214463233948),79,MTS_10139,MTS,10139,El Cajon Bl & Arizona St,32.7551642,-117.1377184,10139,0,,1,N-E/B,
Point (6288773.64345754683017731 1858484.23413147032260895),80,MTS_10140,MTS,10140,Adams Av & Arizona St,32.76280518,-117.1377011,10140,0,,1,N-E/B,
Point (6289078.64514413475990295 1832982.23723530769348145),82,MTS_10143,MTS,10143,Main St & 27th St,32.6927249,-117.1360041,10143,0,,2,N-E/B,
Point (6289270.6447601318359375 1836408.23694497346878052),83,MTS_10145,MTS,10145,Ocean View Bl & Sampson St,32.70214509,-117.1354747,10145,0,,1,N-S/B,
Point (6289532.64456422626972198 1837925.23686373233795166),84,MTS_10147,MTS,10147,Imperial Av & Hensley St,32.70632038,-117.1346649,10147,0,,1,N-E/B,
Point (6289675.64427821338176727 1841748.2361074835062027),85,MTS_10148,MTS,10148,C St & 28th St,32.71683051,-117.1343054,10148,0,,1,N-E/B,
Point (6290244.64346830546855927 1855696.23445814847946167),87,MTS_10150,MTS,10150,El Cajon Bl & Utah St,32.75517721,-117.1328396,10150,0,,1,N-E/B,
Point (6290194.64389638602733612 1853216.23482497036457062),88,MTS_10151,MTS,10151,University Av & Utah St,32.74836023,-117.1329339,10151,0,,1,N-E/B,
Point (6290249.64477063715457916 1834110.23727589845657349),89,MTS_10154,MTS,10154,National Av & 29th St,32.69585228,-117.1322292,10154,0,,1,N-E/B,
Point (6290737.64215421676635742 1880047.23168781399726868),90,MTS_10156,MTS,10156,Balboa Av & Ponderosa Av,32.82211287,-117.131906,10156,0,,1,F-E/B,balpon
Point (6290659.64263829588890076 1875547.23215764760971069),91,MTS_10157,MTS,10157,Aero Dr & Corporate Ct,32.80974365,-117.132036,10157,0,,1,N-E/B,
Point (6290850.64422480762004852 1839822.23635056614875793),92,MTS_10158,MTS,10158,Market St & 30th St,32.71156459,-117.1304326,10158,0,,1,N-E/B,mark30
Point (6290963.64203029870986938 1883375.23159347474575043),93,MTS_10159,MTS,10159,Clairemont Mesa Bl & Overland Av,32.83126451,-117.131262,10159,0,,1,N-E/B,claove
Point (6291025.64321863651275635 1858473.23415347933769226),94,MTS_10160,MTS,10160,Adams Av & 30th St,32.76282743,-117.1303757,10160,0,,1,N-E/B,30ada
Point (6291022.64355272054672241 1853200.234856978058815),95,MTS_10161,MTS,10161,University Av & 30th St,32.7483355,-117.1302406,10161,0,,1,N-E/B,uni30t
Point (6291233.64345879852771759 1850540.23525573313236237),96,MTS_10162,MTS,10162,Upas St & 30th St,32.74102988,-117.1294814,10162,0,,1,N-E/B,
Point (6291053.64447496831417084 1836018.23706881701946259),97,MTS_10163,MTS,10163,Ocean View Bl & 30th St,32.70111472,-117.1296683,10163,0,,1,N-E/B,
Point (6291083.64441497623920441 1837920.23687373101711273),98,MTS_10164,MTS,10164,Imperial Av & 30th St,32.70634271,-117.129623,10164,0,,1,N-E/B,
Point (6291142.64495313167572021 1832974.23757939040660858),99,MTS_10165,MTS,10165,Main St & 30th St,32.69275093,-117.1292956,10165,0,,1,F-E/B,
Point (6290876.64417280256748199 1841730.23647156357765198),100,MTS_10166,MTS,10166,C St & 30th St,32.71680897,-117.1304005,10166,0,,1,M-Street-E/B,c_30st
Point (6291163.64392688870429993 1843333.23621831834316254),101,MTS_10167,MTS,10167,Beech St & Fern St,32.72122117,-117.1295114,10167,0,,1,F-E/B,
Point (6291641.64329896867275238 1858471.23448556661605835),103,MTS_10169,MTS,10169,Adams Av & Boundary St,32.76283621,-117.1283719,10169,0,,1,N-E/B,
Point (6291742.64408122003078461 1839819.236684650182724),104,MTS_10171,MTS,10171,Market St & 31st St,32.71157701,-117.1275328,10171,0,,1,N-E/B,
Point (6291708.64185263216495514 1880070.23196989297866821),105,MTS_10176,MTS,10176,Balboa Av & Ruffin Rd,32.82219862,-117.1287461,10176,0,,2,N-E/B,balruf
Point (6292355.64416755735874176 1836015.23707480728626251),106,MTS_10177,MTS,10177,Ocean View Bl & 32nd St,32.7011366,-117.1254362,10177,0,,1,N-E/B,
Point (6292384.64410954713821411 1837920.23687373101711273),107,MTS_10178,MTS,10178,Imperial Av & 32nd St,32.7063728,-117.1253939,10178,0,,1,N-E/B,imp32
Point (6292398.64408154785633087 1839820.23668263852596283),108,MTS_10179,MTS,10179,Market St & 32nd St,32.71159492,-117.1254002,10179,0,,1,N-E/B,
Point (6292267.6420469731092453 1883368.23160748183727264),109,MTS_10180,MTS,10180,Clairemont Mesa Bl & Ruffin Rd,32.83127549,-117.1270169,10180,0,,1,N-E/B,
