node_index,is_stop_only,pos_x,pos_y,census_tract,node_in_fleetpy,is_demand_node
88184,False,6325423.357,1852622.303,14400,0,0
88185,False,6323131.928,1852622.121,14602,1,1
88195,False,6321455.0,1852609.0,14602,2,0
88201,False,6325388.506,1852604.63,14400,3,0
88217,False,6324435.772,1852586.574,14602,4,1
88227,False,6323796.296,1852571.807,14602,5,1
88230,False,6324254.829,1852569.226,14602,6,1
88277,False,6322931.689,1852542.517,14602,7,1
88291,False,6324857.872,1852529.251,14400,8,0
88306,False,6324971.597,1852504.342,14400,9,0
88327,False,6323643.173,1852473.921,14602,10,0
88333,False,6325068.416,1852468.614,14400,11,0
88370,False,6321466.0,1852422.0,14602,12,1
88386,False,6325586.974,1852398.261,13801,13,0
88428,False,6324139.0,1852364.0,14400,14,0
88472,False,6325509.0,1852324.0,14400,15,1
88478,False,6325264.905,1852319.189,14400,16,1
88492,False,6323312.0,1852307.0,14400,17,0
88528,False,6323407.0,1852278.0,14400,18,0
88538,False,6325450.734,1852267.138,14400,19,0
88542,False,6325351.958,1852266.978,14400,20,0
88548,False,6325566.452,1852259.652,13801,21,1
88613,False,6325397.261,1852214.761,14400,22,0
88644,False,6324910.0,1852200.0,14400,23,1
88649,False,6323325.0,1852199.0,14400,24,0
88673,False,6322968.0,1852189.0,14400,25,0
88704,False,6325343.0,1852162.0,14400,26,1
88714,False,6323572.0,1852145.0,14400,27,0
88715,False,6325447.243,1852144.269,13801,28,0
88857,False,6321515.0,1851985.0,14400,29,0
88877,False,6319942.0,1851959.0,14602,30,1
88881,False,6320411.0,1851953.0,14500,31,1
88897,False,6322704.0,1851935.999,14400,32,1
88901,False,6325106.37,1851932.3,14400,33,0
88903,False,6322960.0,1851930.0,14400,34,0
88908,False,6323090.0,1851928.0,14400,35,0
88910,False,6323191.0,1851927.0,14400,36,0
88913,False,6323359.0,1851924.0,14400,37,0
88915,False,6323561.0,1851921.0,14400,38,0
88929,False,6323846.0,1851909.0,14400,39,1
88940,False,6325061.336,1851892.336,14400,40,1
88951,False,6321161.0,1851875.0,14400,41,1
88952,False,6324000.0,1851875.0,14400,42,1
88974,False,6320977.0,1851836.0,14400,43,0
89001,False,6324976.0,1851811.999,14400,44,0
89020,False,6324524.0,1851795.0,14400,45,0
89080,False,6317883.0,1851743.0,14500,46,0
89087,False,6321646.0,1851733.0,14400,47,1
89097,False,6324883.0,1851723.0,14400,48,0
89139,False,6324368.0,1851678.0,14400,49,0
89141,False,6317881.0,1851674.0,14400,50,0
89180,False,6319585.0,1851628.0,14400,51,1
89219,False,6321764.0,1851605.0,14400,52,1
89222,False,6321629.661,1851602.23,14400,53,1
89233,False,6321173.0,1851593.0,14400,54,1
89236,False,6321846.0,1851592.001,14400,55,1
89238,False,6320984.0,1851590.0,14400,56,1
89245,False,6325712.171,1851586.399,13801,57,1
89249,False,6320526.0,1851586.0,14400,58,1
89253,False,6325679.71,1851582.287,13801,59,1
89258,False,6325662.0,1851580.0,13801,60,1
89261,True,6322670.0,1851579.0,14400,61,1
89273,False,6318966.0,1851574.0,14400,62,1
89274,False,6319332.0,1851574.0,14400,63,1
89275,False,6319585.0,1851574.0,14400,64,1
89279,False,6318555.999,1851571.0,14400,65,1
89287,False,6318411.0,1851566.0,14400,66,1
89309,False,6321824.0,1851547.0,14400,67,0
89314,False,6324695.0,1851543.0,14400,68,1
89325,False,6325337.931,1851535.847,14001,69,0
89394,False,6325044.0,1851476.0,14001,70,1
89460,False,6321174.0,1851418.0,14400,71,1
89467,False,6320524.0,1851411.0,14400,72,1
89556,False,6321716.0,1851296.0,14400,73,1
89562,False,6322211.001,1851288.0,14400,74,1
89572,False,6322656.0,1851275.0,14400,75,1
89588,False,6325603.894,1851253.427,13801,76,0
89593,False,6321174.0,1851246.0,14400,77,1
89604,False,6320521.0,1851239.0,14400,78,1
89606,False,6319208.0,1851235.0,14400,79,1
89607,False,6319328.001,1851235.0,14400,80,1
89608,False,6319590.0,1851235.0,14400,81,0
89610,False,6319709.162,1851234.455,14400,82,0
89663,False,6323966.0,1851159.0,14400,83,1
89673,False,6324628.0,1851138.0,14001,84,0
89680,False,6322315.0,1851126.0,14400,85,0
89681,False,6322208.0,1851125.0,14400,86,0
89684,False,6321681.0,1851122.0,14400,87,0
89686,False,6324762.0,1851119.0,14001,88,0
89687,False,6323776.0,1851117.0,14400,89,0
89701,False,6323639.0,1851091.0,14400,90,0
89704,False,6324657.001,1851087.0,14001,91,0
89723,False,6321173.0,1851075.0,14400,92,1
89728,False,6320518.0,1851069.0,14400,93,1
89742,False,6318956.001,1851055.0,14400,94,1
89748,False,6318544.0,1851051.0,14400,95,1
89751,False,6318214.0,1851049.0,14400,96,1
89752,False,6319326.0,1851049.0,14400,97,1
89753,False,6319587.0,1851049.0,14400,98,0
89786,False,6325844.512,1851023.998,14001,99,0
