depart_hr,second,rq_time,start (MGRA),end (MGRA),mode
14,3356,53756,9244,9249,WALK
11,2726,42326,9411,1293,WALK
11,31,39631,1293,9411,WALK
14,929,51329,9398,1293,SHARED2FREE
14,858,51258,1293,9398,SHARED2FREE
13,2152,48952,9394,9414,SHARED3FREE
13,2658,49458,9414,9394,TNC_SINGLE
11,1452,41052,9245,9241,WALK
11,1831,41431,9241,9248,WALK
13,1165,47965,9248,9245,WALK
8,1372,30172,9304,9304,SHARED2FREE
15,3413,57413,9391,948,DRIVEALONEFREE
10,825,36825,9396,9397,WALK
10,3209,39209,9397,9222,SHARED3FREE
15,2962,56962,9222,9409,SHARED3FREE
14,905,51305,9384,9395,WALK
14,1263,51663,9395,9384,WALK
18,223,65023,9414,9391,WALK_TRANSIT
19,500,68900,1288,948,SHARED2FREE
13,1330,48130,9384,9394,WALK
13,360,47160,9394,9395,WALK
13,612,47412,9395,9384,WALK
13,2427,49227,9366,1293,WALK
8,2647,31447,9333,9391,DRIVEALONEFREE
10,2124,38124,9391,9392,WALK
13,1880,48680,9340,9333,WALK
13,1017,47817,9333,9340,WALK
13,2770,49570,9321,9414,SHARED3FREE
13,42,46842,9414,9321,SHARED3FREE
11,3555,43155,9371,9249,DRIVEALONEFREE
11,2154,41754,9289,9445,SHARED2FREE
13,1488,48288,9445,9289,SHARED2FREE
12,2911,46111,9390,9398,WALK
13,3257,50057,9398,9390,WALK
12,316,43516,9414,948,SHARED2FREE
14,1840,52240,9321,9398,SHARED2FREE
14,1099,51499,9398,9321,SHARED2FREE
13,2016,48816,9387,9393,SHARED2FREE
13,2676,49476,9393,9387,SHARED2FREE
11,3453,43053,9384,9414,SHARED2FREE
12,3583,46783,9390,9414,DRIVEALONEFREE
13,2238,49038,9414,9390,DRIVEALONEFREE
14,63,50463,9428,9428,DRIVEALONEFREE
12,2942,46142,9392,9402,WALK_TRANSIT
16,3187,60787,1293,1288,SHARED3FREE
10,951,36951,9414,9322,DRIVEALONEFREE
11,1238,40838,9333,9393,DRIVEALONEFREE
13,2924,49724,9393,9333,DRIVEALONEFREE
8,1590,30390,9421,9414,DRIVEALONEFREE
16,1236,58836,1293,9414,DRIVEALONEFREE
12,1938,45138,9428,1288,WALK
13,1074,47874,1288,9428,DRIVEALONEFREE
20,1399,73399,948,1288,DRIVEALONEFREE
14,151,50551,9406,9400,SHARED2FREE
14,1952,52352,9400,9406,WALK_TRANSIT
17,524,61724,9418,948,WALK
9,1068,33468,9414,9391,WALK
18,2814,67614,9424,9391,DRIVEALONEFREE
5,1337,19337,9404,9223,WALK_TRANSIT
15,1988,55988,9424,9256,WALK_TRANSIT
21,750,76350,9414,1288,WALK_TRANSIT
9,123,32523,9414,9414,WALK_TRANSIT
13,3575,50375,9414,9223,WALK_TRANSIT
12,2942,46142,9253,1386,SHARED3FREE
14,1742,52142,1386,9253,SHARED2FREE
17,70,61270,9384,9414,WALK
17,3168,64368,9414,9384,WALK
10,217,36217,9315,9325,SHARED2FREE
14,74,50474,1295,9409,DRIVEALONEFREE
10,1524,37524,9349,9321,WALK
10,2400,38400,9321,9349,WALK
12,2490,45690,948,9414,DRIVEALONEFREE
15,1590,55590,9395,1288,TAXI
12,1707,44907,1386,9339,WALK_TRANSIT
9,226,32626,9395,9387,DRIVEALONEFREE
18,3057,67857,9387,9414,WALK
8,2015,30815,9360,9409,WALK
18,197,64997,9395,9253,DRIVEALONEFREE
14,3420,53820,9402,9414,WALK
10,472,36472,9409,1288,DRIVEALONEFREE
18,2037,66837,9268,9246,SHARED2FREE
8,2267,31067,9409,9414,SHARED2FREE
13,3456,50256,9249,9415,DRIVEALONEFREE
10,2898,38898,9398,9414,SHARED2FREE
10,1367,37367,9414,9398,SHARED2FREE
5,625,18625,9324,9233,SHARED2FREE
17,3455,64655,950,9393,DRIVEALONEFREE
8,3277,32077,950,9280,SHARED2FREE
13,173,46973,9372,9421,SHARED3FREE
10,3245,39245,9400,9414,DRIVEALONEFREE
11,2223,41823,1292,1288,WALK
14,2267,52667,1288,9391,SHARED2FREE
9,1637,34037,1293,9445,SHARED2FREE
11,2511,42111,9445,9409,TAXI
11,3409,43009,9409,9445,WALK_TRANSIT
7,1402,26602,9428,948,SHARED3FREE
7,2451,27651,948,9414,SHARED3FREE
18,2513,67313,9445,9249,SHARED3FREE
14,573,50973,1293,1293,SHARED2FREE
11,2343,41943,9355,9414,WALK_TRANSIT
7,2972,28172,1293,9414,DRIVEALONEFREE
13,376,47176,9360,9246,SHARED2FREE
13,2401,49201,9445,9414,SHARED2FREE
10,796,36796,9414,9430,DRIVEALONEFREE
10,1357,37357,1288,9323,SHARED2FREE
10,761,36761,9323,9340,SHARED2FREE
13,3056,49856,9400,948,WALK
15,12,54012,9333,948,DRIVEALONEFREE
15,2050,56050,948,9296,SHARED2FREE
15,2747,56747,9296,9423,SHARED2FREE
20,3458,75458,9445,9402,DRIVEALONEFREE
15,393,54393,9413,9398,TAXI
13,950,47750,9421,9414,TAXI
13,1414,48214,9414,9402,DRIVEALONEFREE
16,2095,59695,1288,9250,DRIVEALONEFREE
16,2887,60487,9250,1288,DRIVEALONEFREE
21,3340,78940,9414,9427,DRIVEALONEFREE
14,2717,53117,948,9394,DRIVEALONEFREE
8,785,29585,1293,9375,SHARED3FREE
14,1058,51458,9328,1295,DRIVEALONEFREE
