OBJECTID,MGRA,CT10,CT10BG,SRA,MSA,City,ZIP,Sphere,CPA,CPASG,TAZ,Council,Super,LUZ,Elem,Unif,High,Coll,Transit,Shape_Leng,Shape_Area
933,948,2703,27034,6,0,14,92115,1457,1457,0,3574,4,4,87,22,0,16,1,1,1622.068647,101467.5873
935,950,2703,27034,6,0,14,92115,1457,1457,0,3574,4,4,87,22,0,16,1,1,1292.416075,60957.28763
1023,1046,2712,27121,6,0,14,92115,1457,1457,0,3687,4,4,87,22,0,16,1,1,1118.271201,51452.92958
1257,1288,3003,30031,5,0,10,91945,1000,0,0,3630,0,2,135,22,0,16,1,1,1552.166018,84993.69069
1258,1289,3003,30031,5,0,10,91945,1000,0,0,3630,0,2,135,22,0,16,1,1,2067.730058,141958.7629
1259,1290,3003,30031,5,0,10,91945,1000,0,0,3728,0,2,135,22,0,16,1,1,1349.820034,54900.9118
1260,1291,3003,30031,5,0,10,91945,1000,0,0,3741,0,2,109,22,0,16,1,1,2481.662336,281664.7829
1262,1292,3003,30031,5,0,10,91945,1000,0,0,3630,0,2,135,22,0,16,1,1,1024.129809,33815.84511
1264,1293,3003,30031,5,0,10,91945,1000,0,0,3630,0,2,135,22,0,16,1,1,2186.963757,68736.84305
1265,1294,3003,30031,5,0,10,91945,1000,0,0,3771,0,2,134,22,0,16,1,1,789.9081246,23133.52318
1261,1295,3003,30031,5,0,14,92114,1468,1468,0,3744,4,4,109,22,0,16,1,1,2465.821582,181436.4442
1263,1296,3003,30031,5,0,14,92114,1468,1468,0,3744,4,4,109,22,0,16,1,1,1577.468462,87357.33675
1266,1297,3003,30031,5,0,14,92114,1468,1468,0,3744,4,4,109,22,0,16,1,1,1217.325263,55609.48314
1269,1300,3003,30031,5,0,14,92114,1468,1468,0,3794,4,4,109,0,30,0,4,1,2283.709693,110608.1379
1303,1334,3004,30042,5,0,14,92114,1468,1468,0,4046,4,4,109,0,30,0,4,1,1172.112913,63890.12257
1312,1343,3103,31031,5,0,14,92114,1444,1444,0,4122,4,4,110,0,30,0,4,1,1440.268625,103339.7688
1330,1361,3103,31033,5,0,14,92114,1444,1444,0,4122,4,4,110,0,30,0,4,1,2531.051961,215648.5226
1331,1362,3103,31033,5,0,14,92114,1444,1444,0,4122,4,4,110,0,30,0,4,1,1616.152434,124623.6961
1338,1369,3105,31051,5,0,14,92114,1444,1444,0,3995,4,4,110,0,30,0,4,1,2048.320939,111077.7596
1341,1372,3105,31051,5,0,14,92114,1444,1444,0,4064,4,4,110,0,30,0,4,1,1990.086252,88617.48574
1355,1386,3107,31071,5,0,14,92114,1444,1444,0,3992,4,4,110,0,30,0,4,1,1157.329729,39371.706
1356,1387,3107,31071,5,0,14,92114,1444,1444,0,3992,4,4,110,0,30,0,4,1,1091.470096,66230.83444
