OBJECTID,MGRA,CT10,CT10BG,SRA,MSA,City,ZIP,Sphere,CPA,CPASG,TAZ,Council,Super,LUZ,Elem,Unif,High,Coll,Transit,Shape_Leng,Shape_Area,OBJECTID_2,FNODE,TNODE,LENGTH,ROADSEGID,POSTID,POSTDATE,ROADID,RIGHTWAY,ADDSEGDT,SEGSTAT,DEDSTAT,FUNCLASS,ONEWAY,SUBDIVID,SEGCLASS,LJURISDIC,LLOWADDR,LHIGHADDR,RJURISDIC,RLOWADDR,RHIGHADDR,LMIXADDR,RMIXADDR,PENDING,ABLOADDR,ABHIADDR,NAD83N,NAD83E,SPEED,L_ZIP,R_ZIP,LPSJUR,RPSJUR,CARTO,OBMH,FIREDRIV,L_BLOCK,R_BLOCK,L_TRACT,R_TRACT,L_BEAT,R_BEAT,FRXCOORD,FRYCOORD,MIDXCOORD,MIDYCOORD,TOXCOORD,TOYCOORD,F_LEVEL,T_LEVEL,L_PSBLOCK,R_PSBLOCK,RD20PRED,RD20NAME,RD20SFX,RD20FULL,RD30PRED,RD30NAME,RD30SFX,RD30POSTD,RD30FULL,Shape_Leng_2
22827,9542,14602,146023,33,3,9,91941,900,0,0,3438,0,2,136,22,0,16,1,1,856.1675064,38640.62921,0,0,0,0,0,,,0,0,,,,,,0,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0
9371,9541,14602,146023,33,3,9,91941,900,0,0,3438,0,2,136,22,0,16,1,1,1628.718215,113473.6889,55238,177826,177843,79.37195169,50170,fjessie,11/22/2016,9320,0,4/1/1980,M,D,2,B,0,4,LG,3686,3694,LG,3687,3695,N,N,N,3686,3695,1852273.892,6321476.47,25,91941,91941,LG,LG,4,N,Y,3015,3016,14602,14602,602,602,6321476.47,1852273.892,6321473.209,1852313.759,6321469.999,1852353,2,2,30200,30170,,LEMON GROVE,AV,LEMON GROVE AV,,LEMON GROVE,AVE,,LEMON GROVE AVE,79.37198606
9371,9541,14602,146023,33,3,9,91941,900,0,0,3438,0,2,136,22,0,16,1,1,1628.718215,113473.6889,141466,177843,175946,12.50292177,210703,fjessie,11/22/2016,9320,0,8/11/2014,M,D,2,B,0,4,LG,3696,3698,LG,3697,3699,N,N,N,3696,3699,1852353,6321469.999,25,91941,91941,LG,LG,4,N,Y,3015,3016,14602,14602,602,602,6321469.999,1852353,6321469.652,1852358.99,6321469.276,1852365.482,2,1,30210,30170,,LEMON GROVE,AV,LEMON GROVE AV,,LEMON GROVE,AVE,,LEMON GROVE AVE,12.50285785
9371,9541,14602,146023,33,3,9,91941,900,0,0,3438,0,2,136,22,0,16,1,1,1628.718215,113473.6889,138822,175944,176618,7.68000331,212081,fjessie,11/24/2014,29648,0,11/18/2014,M,D,R,F,0,9,LG,0,0,LM,0,0,N,N,N,0,0,1852244.356,6320982.695,18,91941,91941,LG,LM,9,N,Y,3015,3015,14602,14602,602,1,6320982.695,1852244.356,6320981.047,1852240.711,6320979.473,1852237.385,2,2,30200,30180,,SR-94,RA,SR-94 RA,,STATE ROUTE 94,RAMP,,STATE ROUTE 94 RAMP,7.679751378
9371,9541,14602,146023,33,3,9,91941,900,0,0,3438,0,2,136,22,0,16,1,1,1628.718215,113473.6889,138128,88881,177830,28.55486263,214115,fjessie,9/11/2019,16103,0,8/21/2015,M,D,L,B,0,5,LG,0,0,LG,0,0,N,N,N,0,0,1851953,6320411,20,91941,91941,LG,LG,5,N,Y,3015,1009,14602,14500,602,602,6320411,1851953,6320423.064,1851945.906,6320435.75,1851938.771,1,1,30200,10080,,WAITE,DR,WAITE DR,,WAITE,DR,,WAITE DR,28.55504477
9371,9541,14602,146023,33,3,9,91941,900,0,0,3438,0,2,136,22,0,16,1,1,1628.718215,113473.6889,131680,175946,88370,56.6128652,210704,egregory,8/21/2015,9320,0,8/11/2014,M,D,2,B,0,4,LM,3742,3746,LM,3741,3747,N,N,N,3741,3747,1852365.482,6321469.276,25,91941,91941,LM,LM,4,N,Y,3015,3016,14602,14602,1,1,6321469.276,1852365.482,6321467.656,1852393.435,6321466,1852422,1,1,30210,30170,,LEMON GROVE,AV,LEMON GROVE AV,,LEMON GROVE,AVE,,LEMON GROVE AVE,56.61279191
9371,9541,14602,146023,33,3,9,91941,900,0,0,3438,0,2,136,22,0,16,1,1,1628.718215,113473.6889,124839,177841,177842,456.9899703,214134,fjessie,12/17/2019,29646,0,8/21/2015,M,D,R,F,,9,LM,0,0,LM,0,0,N,N,N,0,0,1852331.723,6321180.215,18,91941,91941,LM,LM,9,N,Y,3015,3015,14602,14602,1,1,6321180.215,1852331.723,6321129.054,1852528.33,6321333.794,1852602.891,1,1,30200,30200,,SR-94,RA,SR-94 RA,,STATE ROUTE 94,RAMP,,STATE ROUTE 94 RAMP,456.9901677
9371,9541,14602,146023,33,3,9,91941,900,0,0,3438,0,2,136,22,0,16,1,1,1628.718215,113473.6889,124838,88195,177840,19.88206885,214126,fjessie,12/17/2019,9320,0,8/21/2015,M,D,2,B,0,4,LM,3774,3786,LM,3775,3787,N,N,N,3774,3787,1852609,6321455,25,91941,91941,LM,LM,4,N,Y,3015,3016,14602,14602,1,1,6321455,1852609,6321454.203,1852618.968,6321453.415,1852628.819,1,1,30180,30170,,LEMON GROVE,AV,LEMON GROVE AV,,LEMON GROVE,AVE,,LEMON GROVE AVE,19.88185958
9371,9541,14602,146023,33,3,9,91941,900,0,0,3438,0,2,136,22,0,16,1,1,1628.718215,113473.6889,122786,177842,88370,247.6350296,214135,fjessie,12/17/2019,29646,0,8/21/2015,M,D,R,B,,9,LM,0,0,LM,0,0,N,N,N,0,0,1852602.891,6321333.794,20,91941,91941,LM,LM,9,N,Y,3015,3015,14602,14602,1,1,6321333.794,1852602.891,6321429.788,1852540.213,6321466,1852422,1,1,30200,30200,,SR-94,RA,SR-94 RA,,STATE ROUTE 94,RAMP,,STATE ROUTE 94 RAMP,247.6353492
9371,9541,14602,146023,33,3,9,91941,900,0,0,3438,0,2,136,22,0,16,1,1,1628.718215,113473.6889,122785,177826,177830,1093.369547,214117,fjessie,9/11/2019,41112,0,8/21/2015,M,D,F,F,,1,LG,0,0,LG,0,0,N,N,N,0,0,1852273.892,6321476.47,60,91941,91941,LG,LG,1,N,Y,3015,3015,14602,14602,602,602,6321476.47,1852273.892,6320956.49,1852104.148,6320435.75,1851938.771,1,2,30200,30200,,SR-94 WB,,SR-94 WB,,STATE ROUTE 94 WB,,,STATE ROUTE 94 WB,1093.369465
