OBJECTID,FNODE,TNODE,LENGTH,ROADSEGID,POSTID,POSTDATE,ROADID,RIGHTWAY,ADDSEGDT,SEGSTAT,DEDSTAT,FUNCLASS,ONEWAY,SUBDIVID,SEGCLASS,LJURISDIC,LLOWADDR,LHIGHADDR,RJURISDIC,RLOWADDR,RHIGHADDR,LMIXADDR,RMIXADDR,PENDING,ABLOADDR,ABHIADDR,NAD83N,NAD83E,SPEED,L_ZIP,R_ZIP,LPSJUR,RPSJUR,CARTO,OBMH,FIREDRIV,L_BLOCK,R_BLOCK,L_TRACT,R_TRACT,L_BEAT,R_BEAT,FRXCOORD,FRYCOORD,MIDXCOORD,MIDYCOORD,TOXCOORD,TOYCOORD,F_LEVEL,T_LEVEL,L_PSBLOCK,R_PSBLOCK,RD20PRED,RD20NAME,RD20SFX,RD20FULL,RD30PRED,RD30NAME,RD30SFX,RD30POSTD,RD30FULL,Shape_Leng,OBJECTID_2,MGRA,CT10,CT10BG,SRA,MSA,City,ZIP,Sphere,CPA,CPASG,TAZ,Council,Super,LUZ,Elem,Unif,High,Coll,Transit,Shape_Leng_2,Shape_Area
99095,94985,94989,255.0183667,12252,FJessie,9/23/2019,4136,0,4/1/1980,M,D,L,B,0,5,CN,8216,8298,CN,8215,8299,N,N,N,8215,8299,1844421,6324830,20,91977,91977,LG,CN,5,N,Y,2008,2020,14002,14002,607,628,6324830,1844421,6324957.991,1844419.555,6325085,1844418,1,1,20150,20210,,BLOSSOM,LN,BLOSSOM LN,,BLOSSOM,LN,,BLOSSOM LN,255.0181847,9108,9276,14002,140022,32,3,19,91977,1000,1921,192100,3856,0,2,151,20,0,16,1,1,1682.145112,140353.3762
99094,94971,94973,93.00568163,12251,adowling,9/15/2015,4136,0,4/1/1980,M,D,2,B,0,4,CN,8130,8134,CN,8131,8133,N,N,N,8130,8134,1844429,6324232,35,91977,91977,LG,CN,5,N,Y,2006,2016,14002,14002,607,628,6324232,1844429,6324278.997,1844428.466,6324325,1844428,1,1,20200,20250,,BLOSSOM,LN,BLOSSOM LN,,BLOSSOM,LN,,BLOSSOM LN,93.00549563,9108,9276,14002,140022,32,3,19,91977,1000,1921,192100,3856,0,2,151,20,0,16,1,1,1682.145112,140353.3762
83546,95462,94971,772.2449062,63744,fjessie,4/30/2014,16116,0,4/1/1980,M,D,L,B,0,5,CN,1618,1698,CN,1619,1699,N,N,N,1618,1699,1843661,6324265,20,91977,91977,CN,CN,5,N,Y,2017,2016,14002,14002,628,628,6324265,1843661,6324234.452,1844042.763,6324232,1844429,1,1,20260,20250,,WALBOLLEN,ST,WALBOLLEN ST,,WALBOLLEN,ST,,WALBOLLEN ST,772.2450023,9108,9276,14002,140022,32,3,19,91977,1000,1921,192100,3856,0,2,151,20,0,16,1,1,1682.145112,140353.3762
80775,95584,95462,466.3173865,14937,fjessie,4/30/2014,4691,0,4/1/1980,M,D,L,B,0,5,CN,8000,8150,CN,8001,8149,N,N,N,8000,8150,1843419.832,6323882.495,20,91977,91977,CN,CN,5,N,Y,2017,1006,14002,14002,628,628,6323882.495,1843419.832,6324072.428,1843533.524,6324265,1843661,1,1,20260,10070,,CAMERON,DR,CAMERON DR,,CAMERON,DR,,CAMERON DR,466.3171797,9108,9276,14002,140022,32,3,19,91977,1000,1921,192100,3856,0,2,151,20,0,16,1,1,1682.145112,140353.3762
91403,94964,94971,354.2033314,12242,adowling,9/15/2015,4136,0,4/1/1980,M,D,2,B,0,4,CN,8100,8128,CN,8101,8129,N,N,N,8100,8129,1844441,6323878,35,91977,91977,LG,CN,5,N,Y,2006,2017,14002,14002,607,628,6323878,1844441,6324054.898,1844435.003,6324232,1844429,1,1,20200,20260,,BLOSSOM,LN,BLOSSOM LN,,BLOSSOM,LN,,BLOSSOM LN,354.2032788,9108,9276,14002,140022,32,3,19,91977,1000,1921,192100,3856,0,2,151,20,0,16,1,1,1682.145112,140353.3762
90411,94977,94985,293.0273025,12248,fjessie,10/4/2018,4136,0,9/10/1991,M,D,L,B,0,5,CN,8200,8214,CN,8201,8213,N,N,N,8200,8214,1844425,6324537,20,91977,91977,LG,CN,5,N,Y,2014,2015,14002,14002,607,628,6324537,1844425,6324683.986,1844422.993,6324830,1844421,1,1,20230,20220,,BLOSSOM,LN,BLOSSOM LN,,BLOSSOM,LN,,BLOSSOM LN,293.0273725,9108,9276,14002,140022,32,3,19,91977,1000,1921,192100,3856,0,2,151,20,0,16,1,1,1682.145112,140353.3762
76935,95621,95541,286.8449058,63749,fjessie,4/30/2014,16116,0,4/1/1980,M,D,L,B,0,5,CN,1540,1598,CN,1541,1599,N,N,N,1540,1599,1843347,6324661,20,91977,91977,CN,CN,5,N,Y,1007,2015,14002,14002,628,628,6324661,1843347,6324540.356,1843423.773,6324419,1843501,1,1,10080,20220,,WALBOLLEN,ST,WALBOLLEN ST,,WALBOLLEN,ST,,WALBOLLEN ST,286.8450619,9108,9276,14002,140022,32,3,19,91977,1000,1921,192100,3856,0,2,151,20,0,16,1,1,1682.145112,140353.3762
72548,94973,94977,212.0212254,12249,fjessie,10/4/2018,4136,0,9/10/1991,R,D,P,B,0,P,CN,8136,8198,CN,8135,8199,N,N,N,8135,8199,1844428,6324325,0,91977,91977,LG,CN,P,N,N,2014,2016,14002,14002,607,628,6324325,1844428,6324430.989,1844426.5,6324537,1844425,1,1,20230,20250,,BLOSSOM,LN,BLOSSOM LN,,BLOSSOM,LN,,BLOSSOM LN,212.0214574,9108,9276,14002,140022,32,3,19,91977,1000,1921,192100,3856,0,2,151,20,0,16,1,1,1682.145112,140353.3762
78933,95541,95462,225.7275782,63750,fjessie,4/30/2014,16116,0,4/1/1980,M,D,L,B,0,5,CN,1600,1616,CN,1601,1617,N,N,N,1600,1617,1843501,6324419,20,91977,91977,CN,CN,5,N,Y,1006,2016,14002,14002,628,628,6324419,1843501,6324328.967,1843569.119,6324265,1843661,1,1,10070,20250,,WALBOLLEN,ST,WALBOLLEN ST,,WALBOLLEN,ST,,WALBOLLEN ST,225.7275861,9108,9276,14002,140022,32,3,19,91977,1000,1921,192100,3856,0,2,151,20,0,16,1,1,1682.145112,140353.3762
78932,95854,95621,465.3075645,63745,FJESSIE,7/22/2010,16116,0,4/1/1980,M,D,L,B,0,5,CN,1500,1538,CN,1501,1539,N,N,N,1500,1539,1843007,6324973,20,91977,91977,CN,CN,5,N,Y,1009,2020,14002,14002,628,628,6324973,1843007,6324830.364,1843191.239,6324661,1843347,1,1,10090,20210,,WALBOLLEN,ST,WALBOLLEN ST,,WALBOLLEN,ST,,WALBOLLEN ST,465.3073338,9108,9276,14002,140022,32,3,19,91977,1000,1921,192100,3856,0,2,151,20,0,16,1,1,1682.145112,140353.3762
