node_index,is_stop_only,pos_x,pos_y,census_tract,node_in_fleetpy,is_demand_node
88184,FALSE,6325423.357,1852622.303,14400,0,0
88185,FALSE,6323131.928,1852622.121,14602,1,1
88195,FALSE,6321455,1852609,14602,2,0
88201,FALSE,6325388.506,1852604.63,14400,3,0
88217,FALSE,6324435.772,1852586.574,14602,4,1
88227,FALSE,6323796.296,1852571.807,14602,5,1
88230,FALSE,6324254.829,1852569.226,14602,6,1
88277,FALSE,6322931.689,1852542.517,14602,7,1
88291,FALSE,6324857.872,1852529.251,14400,8,0
88306,FALSE,6324971.597,1852504.342,14400,9,0
88327,FALSE,6323643.173,1852473.921,14602,10,0
88333,FALSE,6325068.416,1852468.614,14400,11,0
88370,FALSE,6321466,1852422,14602,12,1
88386,FALSE,6325586.974,1852398.261,13801,13,0
88428,FALSE,6324139,1852364,14400,14,0
88472,FALSE,6325509,1852324,14400,15,1
88478,FALSE,6325264.905,1852319.189,14400,16,1
88492,FALSE,6323312,1852307,14400,17,0
88528,FALSE,6323407,1852278,14400,18,0
88538,FALSE,6325450.734,1852267.138,14400,19,0
88542,FALSE,6325351.958,1852266.978,14400,20,0
88548,FALSE,6325566.452,1852259.652,13801,21,1
88613,FALSE,6325397.261,1852214.761,14400,22,0
88644,FALSE,6324910,1852200,14400,23,1
88649,FALSE,6323325,1852199,14400,24,0
88673,FALSE,6322968,1852189,14400,25,0
88704,FALSE,6325343,1852162,14400,26,1
88714,FALSE,6323572,1852145,14400,27,0
88715,FALSE,6325447.243,1852144.269,13801,28,0
88857,FALSE,6321515,1851985,14400,29,0
88877,FALSE,6319942,1851959,14602,30,1
88881,FALSE,6320411,1851953,14500,31,1
88897,FALSE,6322704,1851935.999,14400,32,1
88901,FALSE,6325106.37,1851932.3,14400,33,0
88903,FALSE,6322960,1851930,14400,34,0
88908,FALSE,6323090,1851928,14400,35,0
88910,FALSE,6323191,1851927,14400,36,0
88913,FALSE,6323359,1851924,14400,37,0
88915,FALSE,6323561,1851921,14400,38,0
88929,FALSE,6323846,1851909,14400,39,1
88940,FALSE,6325061.336,1851892.336,14400,40,1
88951,FALSE,6321161,1851875,14400,41,1
88952,FALSE,6324000,1851875,14400,42,1
88974,FALSE,6320977,1851836,14400,43,0
89001,FALSE,6324976,1851811.999,14400,44,0
89020,FALSE,6324524,1851795,14400,45,0
89080,FALSE,6317883,1851743,14500,46,0
89087,FALSE,6321646,1851733,14400,47,1
89097,FALSE,6324883,1851723,14400,48,0
89139,FALSE,6324368,1851678,14400,49,0
89141,FALSE,6317881,1851674,14400,50,0
89180,FALSE,6319585,1851628,14400,51,1
89219,FALSE,6321764,1851605,14400,52,1
89222,FALSE,6321629.661,1851602.23,14400,53,1
89233,FALSE,6321173,1851593,14400,54,1
89236,FALSE,6321846,1851592.001,14400,55,1
89238,FALSE,6320984,1851590,14400,56,1
89245,FALSE,6325712.171,1851586.399,13801,57,1
89249,FALSE,6320526,1851586,14400,58,1
89253,FALSE,6325679.71,1851582.287,13801,59,1
89258,FALSE,6325662,1851580,13801,60,1
89261,TRUE,6322670,1851579,14400,61,1
89273,FALSE,6318966,1851574,14400,62,1
89274,FALSE,6319332,1851574,14400,63,1
89275,FALSE,6319585,1851574,14400,64,1
89279,FALSE,6318555.999,1851571,14400,65,1
89287,FALSE,6318411,1851566,14400,66,1
89309,FALSE,6321824,1851547,14400,67,0
89314,FALSE,6324695,1851543,14400,68,1
89325,FALSE,6325337.931,1851535.847,14001,69,0
89394,FALSE,6325044,1851476,14001,70,1
89460,FALSE,6321174,1851418,14400,71,1
89467,FALSE,6320524,1851411,14400,72,1
89556,FALSE,6321716,1851296,14400,73,1
89562,FALSE,6322211.001,1851288,14400,74,1
89572,FALSE,6322656,1851275,14400,75,1
89588,FALSE,6325603.894,1851253.427,13801,76,0
89593,FALSE,6321174,1851246,14400,77,1
89604,FALSE,6320521,1851239,14400,78,1
89606,FALSE,6319208,1851235,14400,79,1
89607,FALSE,6319328.001,1851235,14400,80,1
89608,FALSE,6319590,1851235,14400,81,0
89610,FALSE,6319709.162,1851234.455,14400,82,0
89663,FALSE,6323966,1851159,14400,83,1
89673,FALSE,6324628,1851138,14001,84,0
89680,FALSE,6322315,1851126,14400,85,0
89681,FALSE,6322208,1851125,14400,86,0
89684,FALSE,6321681,1851122,14400,87,0
89686,FALSE,6324762,1851119,14001,88,0
89687,FALSE,6323776,1851117,14400,89,0
89701,FALSE,6323639,1851091,14400,90,0
89704,FALSE,6324657.001,1851087,14001,91,0
89723,FALSE,6321173,1851075,14400,92,1
89728,FALSE,6320518,1851069,14400,93,1
89742,FALSE,6318956.001,1851055,14400,94,1
89748,FALSE,6318544,1851051,14400,95,1
89751,FALSE,6318214,1851049,14400,96,1
89752,FALSE,6319326,1851049,14400,97,1
89753,FALSE,6319587,1851049,14400,98,0
