wkt_geom,OBJECTID,stop_UID,stop_agenc,stop_id,stop_name,stop_lat,stop_lon,stop_code,location_t,parent_sta,wheelchair,intersecti,stop_place
Point (6321134.64074330031871796 1840964.23833164572715759),196,MTS_10312,MTS,10312,Jamacha Rd & Glencoe Dr,32.71536671,-117.0320113,10312,0,,1,M-Street-E/B,
Point (6321545.63992130756378174 1850832.23696830868721008),197,MTS_10313,MTS,10313,Main St & Broadway (Lemon Grove Depot),32.74249573,-117.0309154,10313,0,,2,N-N/B,brotro
Point (6322953.64038613438606262 1841743.23808597028255463),202,MTS_10319,MTS,10319,Jamacha Rd & Cardiff St,32.71754502,-117.0261166,10319,0,,1,N-E/B,carjam
Point (6316015.64048263430595398 1850476.23669606447219849),439,MTS_10692,MTS,10692,Federal Bl & College Av,32.74140218,-117.0488901,10692,0,,1,F-E/B,
Point (6317119.64122737944126129 1839761.23778489232063293),443,MTS_10698,MTS,10698,Lisbon St & 71st St,32.71197702,-117.0450343,10698,0,,2,M-Street-E/B,
Point (6318019.6404116302728653 1850840.23662422597408295),445,MTS_10701,MTS,10701,Broadway & Massachusetts Av,32.7424446,-117.0423822,10701,0,,1,F-E/B,
Point (6318797.64115221798419952 1839770.23809497058391571),447,MTS_10704,MTS,10704,Lisbon St & Tibbett St,32.7120368,-117.0395795,10704,0,,0,F-E/B,
Point (6319150.64044621586799622 1850920.23679231107234955),448,MTS_10705,MTS,10705,Broadway & West St,32.74268804,-117.0387061,10705,0,,1,F-W/B,
Point (6319185.64070430397987366 1839770.23809497058391571),450,MTS_10707,MTS,10707,Lisbon St & Jamacha Rd,32.71204487,-117.0383182,10707,0,,0,F-E/B,
Point (6319279.64018821716308594 1850849.23693430423736572),451,MTS_10708,MTS,10708,Broadway & West St,32.74249558,-117.0382849,10708,0,,1,F-E/B,
Point (6320263.64084488153457642 1840444.23838739097118378),455,MTS_10714,MTS,10714,Jamacha Rd & Beacon Dr,32.71391959,-117.0348302,10714,0,,0,F-E/B,
Point (6322726.63985589146614075 1850888.23685631155967712),462,MTS_10724,MTS,10724,Broadway & Grove St,32.74267388,-117.0270762,10724,0,,1,F-E/B,
Point (6315997.64150288701057434 1839816.2380029708147049),654,MTS_11056,MTS,11056,Lisbon St & Imperial Av,32.71210461,-117.0486831,11056,0,,1,N-W/B,
Point (6315927.64098672568798065 1842836.23754039406776428),655,MTS_11058,MTS,11058,Madera St & Primera St,32.72040309,-117.0489859,11058,0,,2,F-W/B,
Point (6317647.64082755148410797 1844863.23742339015007019),657,MTS_11062,MTS,11062,Madera St & Shirley Ln,32.72601005,-117.043444,11062,0,,2,N-W/B,
Point (6323825.64028255641460419 1842159.23823823034763336),671,MTS_11083,MTS,11083,Jamacha Rd & Osage Dr,32.71870613,-117.0232917,11083,0,,2,F-W/B,
Point (6317717.64068755507469177 1850932.23644022643566132),899,MTS_11441,MTS,11441,Broadway & Massachusetts Av,32.74269114,-117.0433666,11441,0,,1,F-W/B,
Point (6319381.64064039289951324 1839881.23820106685161591),905,MTS_11452,MTS,11452,Jamacha Rd & Joanna Dr,32.712354,-117.0376837,11452,0,,2,N-W/B,
