stop_id,stop_lat,stop_lon,string_id,walk_node
13088,32.74266336,-117.0451193,13088,120
40918,32.74238868,-117.0459461,40918,120
40130,32.74255179,-117.0337779,40130,107
40364,32.74281513,-117.0347233,40364,107
10724,32.74267388,-117.02707620000001,10724,103
11463,32.74289609,-117.027579,11463,103
11458,32.74283905,-117.0313868,11458,105
10701,32.7424446,-117.04238219999999,10701,118
11441,32.74269114,-117.0433666,11441,118
40981,32.74407958,-117.0216281,40981,49
99258,32.74485626,-117.020051,99258,48
99259,32.74507808,-117.0201798,99259,48
40021,32.743241,-117.02342890000001,40021,89
40380,32.74351409,-117.02327199999999,40380,83
10705,32.74268804,-117.0387061,10705,108
10708,32.74249558,-117.03828490000002,10708,110
11808,32.71870598,-117.0259415,11808,819
12975,32.71896011,-117.0257389,12975,819
12963,32.74160006,-117.0501635,12963,1040
10692,32.74140218,-117.04889009999998,10692,1041
13021,32.71288508,-117.03629380000001,13021,902
13118,32.71629082,-117.02930800000001,13118,840
13023,32.71615056,-117.029323,13023,840
10714,32.71391959,-117.03483020000002,10714,895
99378,32.71378194,-117.0352972,99378,895
10319,32.71754502,-117.0261166,10319,830
11466,32.71764546,-117.0263158,11466,830
99252,32.71819304,-117.02490309999999,99252,821
10312,32.71536671,-117.0320113,10312,867
11452,32.712354,-117.0376837,11452,913
11455,32.7152216,-117.0332227,11455,869
11083,32.71870613,-117.02329170000002,11083,823
12583,32.74182466,-117.0261939,12583,132
75038,32.74348189,-117.0306539,75038,87
75039,32.7432961,-117.03078300000001,75039,87
13116,32.71217625,-117.043973,13116,924
10698,32.71197702,-117.04503429999998,10698,921
11056,32.71210461,-117.0486831,11056,923
10707,32.71204487,-117.0383182,10707,917
10704,32.7120368,-117.03957949999999,10704,916
13467,32.71219415,-117.04118700000001,13467,919
12576,32.72610796,-117.04317830000001,12576,645
11058,32.72040309,-117.04898590000002,11058,757
12965,32.72085823,-117.0483072,12965,751
11793,32.72385201,-117.04565190000001,11793,697
12967,32.72356857,-117.04570459999998,12967,697
11062,32.72601005,-117.043444,11062,645
10313,32.74249573,-117.03091540000001,10313,105
12968,32.73441076,-117.0428107,12968,368
11797,32.74187281,-117.04295459999999,11797,150
11796,32.73900515,-117.04297890000001,11796,214
12575,32.73876201,-117.0427491,12575,214
11798,32.72769544,-117.04292920000002,11798,627
12969,32.72782595,-117.0427222,12969,602
12235,32.73124286,-117.0430652,12235,464
12574,32.73081815,-117.04286299999998,12574,474
12236,32.73312576,-117.0430366,12236,397
11795,32.73620431,-117.04299920000001,11795,1018
75040,32.72355904,-117.03948899999999,75040,682
75041,32.723461900000004,-117.03967990000001,75041,707
12581,32.72793867,-117.02673159999999,12581,957
12244,32.72325442,-117.026427,12244,700
12974,32.72367052,-117.0262551,12974,700
12243,32.72844278,-117.02698649999999,12243,570
11806,32.73868654,-117.02652720000002,11806,228
12582,32.73772,-117.02637879999999,12582,242
11805,32.73150437,-117.0270232,11805,448
99251,32.7315638,-117.0267506,99251,448
12242,32.73396302,-117.02722050000001,12242,345
12579,32.73454167,-117.0269882,12579,345
11807,32.72040339,-117.02612549999999,11807,759
40617,32.72457823,-117.014303,40617,675
