,wkt_geom,OBJECTID,FNODE,TNODE,LENGTH,ROADSEGID,POSTID,POSTDATE,ROADID,RIGHTWAY,ADDSEGDT,SEGSTAT,DEDSTAT,FUNCLASS,ONEWAY,SUBDIVID,SEGCLASS,LJURISDIC,LLOWADDR,LHIGHADDR,RJURISDIC,RLOWADDR,RHIGHADDR,LMIXADDR,RMIXADDR,PENDING,ABLOADDR,ABHIADDR,NAD83N,NAD83E,SPEED,L_ZIP,R_ZIP,LPSJUR,RPSJUR,CARTO,OBMH,FIREDRIV,L_BLOCK,R_BLOCK,L_TRACT,R_TRACT,L_BEAT,R_BEAT,FRXCOORD,FRYCOORD,MIDXCOORD,MIDYCOORD,TOXCOORD,TOYCOORD,F_LEVEL,T_LEVEL,L_PSBLOCK,R_PSBLOCK,RD20PRED,RD20NAME,RD20SFX,RD20FULL,RD30PRED,RD30NAME,RD30SFX,RD30POSTD,RD30FULL,Shape_Leng
0,"MultiLineStringZ ((-13033792.81282869167625904 3852909.62287417752668262 0, -13033708.02355443313717842 3852938.29426409397274256 0))",20,103754,103738,247.29334807,620,fjessie,2020-11-13,2053,0,1980-04-01,M,D,L,B,0,5,NC,2121,2199,NC,2120,2198,N,N,N,2120,2199,1828232.0,6304871.0,20,91950,91950,NC,NC,5,N,Y,1000,1000,12002,12002,21,21,6304871.0,1828232.0,6304988.836,1828270.61,6305106.0,1828309.0,1,1,10000,10000,E,10TH,ST,E 10TH ST,E,10TH,ST,,E 10TH ST,247.293165254794
1,"MultiLineStringZ ((-13036390.29615230858325958 3853077.10080937342718244 0, -13036388.13046091608703136 3853077.84179630363360047 0, -13036277.01294524408876896 3853115.84193259943276644 0))",39,103555,103518,330.77579722,735,FJessie,2019-09-23,2068,0,1980-04-01,M,D,L,B,0,5,NC,101,199,NC,100,198,N,N,N,100,199,1828751.0,6297695.0,20,91950,91950,NC,NC,5,N,Y,3011,2005,11801,11801,20,20,6297695.0,1828751.0,6297851.632,1828802.878,6298009.001,1828855.0,1,1,30100,20120,E,02ND,ST,E 02ND ST,E,02ND,ST,,E 02ND ST,330.775846787768
2,"MultiLineStringZ ((-13034099.40989638678729534 3853791.22806053329259157 0, -13033968.05710436217486858 3853834.31334245903417468 0, -13033931.24922792799770832 3853846.38649407681077719 0, -13033899.53485159389674664 3853853.59874190995469689 0, -13033898.84290097840130329 3853853.80289645213633776 0, -13033898.14717092178761959 3853853.99455812526866794 0, -13033897.44885029084980488 3853854.17395588429644704 0, -13033896.74651663936674595 3853854.34133972646668553 0, -13033896.04218302853405476 3853854.49609709437936544 0, -13033895.33490466140210629 3853854.63883194047957659 0, -13033894.62539180554449558 3853854.76930001331493258 0, -13033893.91434902139008045 3853854.88654147228226066 0, -13033893.20024184137582779 3853854.99164211144670844 0, -13033892.48496652953326702 3853855.08422883693128824 0, -13033891.76816890761256218 3853855.16454305592924356 0, -13033891.05008256435394287 3853855.23210579669103026 0, -13033890.33094584010541439 3853855.28703440725803375 0, -13033889.61087552644312382 3853855.3290894259698689 0, -13033888.89034832082688808 3853855.35850553773343563 0, -13033888.16912967339158058 3853855.37564243795350194 0, -13033887.44804665632545948 3853855.38001640187576413 0, -13033886.72650578990578651 3853855.37163219740614295 0, -13033886.00605297647416592 3853855.3508351962082088 0, -13033885.28537780977785587 3853855.31703959451988339 0, -13033884.56579068675637245 3853855.27083118772134185 0, -13033883.84669909253716469 3853855.21233402332291007 0, -13033883.12904593721032143 3853855.14070562738925219 0, -13033882.41271822340786457 3853855.05666251108050346 0, -13033881.69819074124097824 3853854.96020086668431759 0, -13033880.98486810922622681 3853854.85108694294467568 0, -13033880.27405788190662861 3853854.72954875836148858 0, -13033879.56528623029589653 3853854.59570939373224974 0, -13033878.85890543088316917 3853854.44908892922103405 0, -13033878.15503990091383457 3853854.29040199564769864 0, -13033877.45428120531141758 3853854.11940528126433492 0, -13033876.75674708560109138 3853853.93597857374697924 0, -13033876.06196563318371773 3853853.74048348376527429 0, -13033875.37112187966704369 3853853.53267193213105202 0, -13033874.68409904465079308 3853853.31278339587152004 0, -13033874.00054199434816837 3853853.08094001421704888 0, -13033873.3212834931910038 3853852.83737360732629895 0, -13033872.64667677693068981 3853852.5817235354334116 0, -13033871.97624802030622959 3853852.31411288492381573 0, -13033871.31047771312296391 3853852.03525341348722577 0, -13033870.65007135272026062 3853851.74430453730747104 0, -13033869.99455703794956207 3853851.44162787636741996 0, -13033869.34453774429857731 3853851.12841127719730139 0, -13033868.70000110380351543 3853850.80310432892292738 0, -13033868.06095663458108902 3853850.46689965622499585 0, -13033867.4282323457300663 3853850.11943279020488262 0, -13033866.80135251022875309 3853849.76058828644454479 0, -13033866.18115369603037834 3853849.39107502996921539 0, -13033865.56704053655266762 3853849.0106592820957303 0, -13033864.95996828377246857 3853848.62004897044971585 0, -13033864.35945266298949718 3853848.21805529203265905 0, -13033863.76645558327436447 3853847.80622102320194244 0, -13033863.18026203103363514 3853847.38419409841299057 0, -13033862.60181491263210773 3853846.95113205909729004 0, -13033862.03064895607531071 3853846.50823133485391736 0, -13033861.4673604778945446 3853846.05584494117647409 0, -13033860.91229891404509544 3853845.59313517529517412 0, -13033860.36499900370836258 3853845.12129848962649703 0, -13033859.82640458643436432 3853844.63961166748777032 0, -13033859.29580635391175747 3853844.14843821618705988 0, -13033858.77403991855680943 3853843.64836778305470943 0, -13033858.26086314208805561 3853843.13880595192313194 0, -13033857.75675651244819164 3853842.62046448420733213 0, -13033857.26196025870740414 3853842.09369925362989306 0, -13033856.77611544728279114 3853841.5581553396768868 0, -13033856.29957817308604717 3853841.01382988272234797 0, -13033855.83283081091940403 3853840.46167315868660808 0, -13033855.37539477832615376 3853839.90121194208040833 0, -13033854.92798604816198349 3853839.3329175403341651 0, -13033854.49072236940264702 3853838.75666975369676948 0, -13033854.0631327498704195 3853838.17294944729655981 0, -13033853.6459303330630064 3853837.58187015121802688 0, -13033853.23923473805189133 3853836.9835501704365015 0, -13033852.84257310070097446 3853836.37823185231536627 0, -13033852.45665663480758667 3853835.76579021289944649 0, -13033852.08161163702607155 3853835.14717838587239385 0, -13033851.71731275878846645 3853834.52156249014660716 0, -13033851.36388820223510265 3853833.89013419486582279 0, -13033851.0215706005692482 3853833.25229528965428472 0, -13033850.68977123126387596 3853832.60864684963598847 0, -13033850.37014991790056229 3853831.95893699396401644 0, -13033850.06140957400202751 3853831.30424956697970629 0, -13033849.76413796469569206 3853830.64386423537507653 0, -13033849.58018488064408302 3853830.21645342325791717 0))",40,102759,102709,745.55240187,742,fjessie,2016-07-07,2068,60,1980-04-01,M,D,L,B,0,5,NC,2001,2299,NC,2000,2298,N,N,N,2000,2299,1830664.0,6304043.0,20,91950,91950,NC,NC,5,N,Y,3012,3013,11902,11902,21,21,6304043.0,1830664.0,6304398.501,1830776.906,6304734.37,1830765.711,1,1,30090,30090,E,02ND,ST,E 02ND ST,E,02ND,ST,,E 02ND ST,745.552205477575
3,"MultiLineStringZ ((-13035139.10324237495660782 3849835.86688107065856457 0, -13035138.82757682912051678 3849835.93852127622812986 0, -13035133.32811878994107246 3849837.36763406964018941 0, -13035079.94067814014852047 3849854.88329897169023752 0))",71,106815,106798,171.77700415,4317,fjessie,2018-11-27,2549,0,1980-04-01,M,D,L,B,0,5,NC,251,299,NC,250,298,N,N,N,250,299,1819805.0,6301080.999,20,91950,91950,NC,NC,5,N,Y,2014,2005,11602,11602,24,24,6301080.999,1819805.0,6301163.246,1819830.038,6301245.0,1819856.0,1,1,20080,20210,E,31ST,ST,E 31ST ST,E,31ST,ST,,E 31ST ST,171.776958015017
4,"MultiLineStringZ ((-13036402.11660977080464363 3851556.31463502440601587 0, -13036365.12888975068926811 3851442.18462532106786966 0))",301,105071,105181,330.24866826,19750,fjessie,2017-07-14,5621,0,1980-04-01,M,D,L,B,0,5,NC,1401,1499,NC,1400,1498,N,N,N,1400,1499,1824567.381,6297627.898,20,91950,91950,NC,NC,5,N,Y,2041,1042,21900,21900,20,20,6297627.898,1824567.381,6297677.694,1824410.075,6297727.566,1824252.531,1,1,20870,10740,,COOLIDGE,AV,COOLIDGE AV,,COOLIDGE,AVE,,COOLIDGE AVE,330.248765007517
5,"MultiLineStringZ ((-13036214.9492623470723629 3851365.45171423815190792 0, -13036177.83453344739973545 3851250.17917118920013309 0))",303,105254,105380,333.35266611,19771,FJessie,2018-05-25,5623,0,1980-04-01,M,D,L,B,0,5,NC,1601,1699,NC,1600,1698,N,N,N,1600,1699,1824038.0,6298141.0,20,91950,91950,NC,NC,5,N,Y,2050,2049,21900,21900,20,20,6298141.0,1824038.0,6298191.097,1823878.691,6298241.0,1823720.0,1,1,20840,20880,,HOOVER,AV,HOOVER AV,,HOOVER,AVE,,HOOVER AVE,333.352625341291
6,"MultiLineStringZ ((-13034925.48907623253762722 3849763.47239513089880347 0, -13034872.68403922021389008 3849602.51154294749721885 0, -13034871.26133543625473976 3849598.96535420510917902 0, -13034869.42903098277747631 3849595.61241504084318876 0, -13034866.92991491407155991 3849592.15377213805913925 0, -13034863.99378288723528385 3849589.05749686202034354 0, -13034860.67260691337287426 3849586.37839589221403003 0, -13034857.02517460286617279 3849584.16389157064259052 0))",337,106889,107018,534.56803199,23203,fjessie,2018-11-27,6397,0,1980-04-01,M,D,L,B,0,5,NC,3200,3308,CV,3201,3309,N,N,N,3200,3309,1819601.0,6301669.999,20,91950,91950,NC,CV,5,N,Y,2009,1023,11602,12401,24,11,6301669.999,1819601.0,6301751.529,1819346.752,6301855.299,1819106.054,1,1,20120,10300,,D,AV,D AV,,D,AVE,,D AVE,534.567915765642
7,"MultiLineStringZ ((-13035002.97496220469474792 3849998.33158409129828215 0, -13034967.74043325521051884 3849889.95814923290163279 0))",338,106655,106764,313.72918258,23205,fjessie,2018-11-27,6397,0,1980-04-01,M,D,L,B,0,5,NC,3001,3099,NC,3000,3098,N,N,N,3000,3099,1820249.0,6301461.0,20,91950,91950,NC,NC,5,N,Y,2008,2016,11602,11602,24,24,6301461.0,1820249.0,6301508.541,1820099.371,6301556.0,1819950.0,1,1,20110,20100,,D,AV,D AV,,D,AVE,,D AVE,313.729279819663
8,"MultiLineStringZ ((-13035205.8681680653244257 3850622.85662193316966295 0, -13035177.29003501683473587 3850532.95862634805962443 0))",339,106026,106110,259.67864756,23210,fjessie,2013-05-21,6397,0,1980-04-01,M,D,L,B,0,5,NC,2431,2519,NC,2430,2518,N,N,N,2430,2519,1821972.0,6300914.0,20,91950,91950,NC,NC,5,N,Y,1002,1003,11602,11602,24,24,6300914.0,1821972.0,6300952.548,1821847.847,6300991.0,1821724.0,1,1,10020,10030,,D,AV,D AV,,D,AVE,,D AVE,259.678754871101
9,"MultiLineStringZ ((-13035468.79066392965614796 3851421.01529512694105506 0, -13035450.98956556804478168 3851367.00582525692880154 0))",340,105205,105263,156.54072952,23218,fjessie,2019-08-28,6397,0,1980-04-01,M,D,L,B,0,5,NC,1751,1799,NC,1750,1798,N,N,N,1750,1799,1824174.0,6300205.0,20,91950,91950,NC,NC,5,N,Y,2006,2007,11700,11700,20,20,6300205.0,1824174.0,6300228.917,1824099.757,6300253.0,1824025.0,1,1,20090,20180,,D,AV,D AV,,D,AVE,,D AVE,156.540829324919
